paper_id,title,year,doi,C1_decision,C1_EC_code,C1_reason
55,Differential Relationships of Child Anxiety and Depression to Child Report and Parent Report of Electronic Media Use.,2019,10.1007/s10578-019-00892-7,INCLUDE,,"Step 1 hit: Tables 3, 4, and 5 report separate numeric coefficients (β, t-values, 95% CIs) for phone/SM-specific variables -- texting (β=0.081, t=3.418, p=0.001 in boys; Table 3), social networks (β=0.061, t=2.574, p=0.010 in boys), and video chatting (β=0.069, t=3.131, p=0.002 in boys) -- each paired with anxiety (individual-trait outcome)."
57,Unpacking Associations between Mood Symptoms and Screen Time in Preadolescents: a Network Analysis,2020,10.1007/s10802-020-00703-x,INCLUDE,,"Step 1 hit: Network analysis explicitly includes social media (""SocMed"" = visiting social network sites) and texting (""Text"") and video chatting (""VidChat"") as separate nodes alongside mood symptom nodes (irritability, depressive mood, anhedonia, anger, elevated mood, decreased need for sleep)."
59,"The association between adverse childhood experiences (ACEs), bullying victimization, and internalizing and externalizing problems among early adolescents ...",,10.1007/s10964-023-01907-2,EXCLUDE,FT-EC2,"Step 1: The paper examines ACEs and bullying victimization (composite combining cyberbullying + overt + relational + reputational bullying) as predictors of internalizing/externalizing problems. No separate numeric estimate for any qualifying phone/SM-specific variable (time on phone, time on SM, named platform, texting, etc.) appears anywhere in the paper including Tables 2-3 or Supplementary..."
67,Prospective associations between media parenting practices and adolescent video game use.,2026,10.1007/s12519-025-01009-y,EXCLUDE,FT-EC2,"Step 1: Searched all results (Table 2, sex-stratified supplementary analyses). Exposures are six media parenting practice scales (screen time modeling, mealtime screen use, bedroom screen use, use of screens to control behavior, parental monitoring, limiting screen time)."
70,"Screen time, problematic screen use, and eating disorder symptoms among early adolescents: findings from the Adolescent Brain Cognitive Development (ABCD) Study.",2024,10.1007/s40519-024-01685-1,INCLUDE,,"Step 1 hit: Table 2 reports OR for ""social media use"" (hours/day, a named phone/SM-specific variable) predicting eating disorder symptoms (fear of obesity OR=1.55, binge eating OR=1.28, etc.); Table 3 reports ORs for SMAQ (problematic social media use) and MPIQ (problematic mobile phone use) predicting eating disorder symptoms."
75,Parent-Adolescent Discrepancies in Adolescent Recreational Screen Time Reporting During the Coronavirus Disease 2019 Pandemic.,2022,10.1016/j.acap.2021.12.008,EXCLUDE,FT-EC2,"Step 1: Table 4 reports regression coefficients (B) for sociodemographic predictors (age, sex, race/ethnicity, country of birth, primary language, parent marital status, parent education, household income) predicting parent-adolescent discrepancy scores in total recreational screen time, multiplayer gaming, texting, social media, and video chatting."
76,Social Epidemiology of Early Adolescent Cyberbullying in the United States.,2022,10.1016/j.acap.2022.07.003,EXCLUDE,FT-EC2,"SM hours/day, texting hrs/day, and video chat hrs/day are paired only with cyberbullying victimization/perpetration. Cyberbullying is itself a phone/SM-mediated phenomenon (you cannot be cyberbullied without being on a phone/SM) -- it belongs in the same category as SMAQ/MPIQ per binding clarification 1. The Table 3 analysis is one phone/SM exposure variable predicting another phone/SM-mediated event, not an SM->external-trait association. Table 2 pairs cyberbullying with demographics-only. No qualifying phone/SM->individual-trait analysis exists anywhere in the paper."
77,"Associations Between Adverse Childhood Experiences, Adolescent Screen Time and Physical Activity During the COVID-19 Pandemic.",2022,10.1016/j.acap.2022.07.007,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate with its own coefficient exists anywhere in the paper. The screen time outcome is a summed total of 7 modalities: 'multiple-player gaming, single-player gaming, texting, social media, video chatting, browsing the internet, and watching or streaming movies, videos, or television shows' (p.1295). All analyses use this aggregated total;"
78,Cyberbullying and Sleep Disturbance Among Early Adolescents in the U.S.,2023,10.1016/j.acap.2022.12.007,EXCLUDE,FT-EC2,"Step 1: All main inferential analyses (Table 3, Models 1-3) pair cyberbullying victimization/perpetration (IV) with sleep outcomes (DV). Total recreational screen time appears only as a covariate in Model 3, not as an IV or DV with its own primary analysis. No phone/SM-specific variable appears as IV or DV with its own coefficient anywhere."
79,The Association between Family Environment and Subsequent Risk of Cyberbullying Victimization in Adolescents.,2024,10.1016/j.acap.2023.11.019,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable has its own coefficient anywhere in the paper. The sole outcome is cyberbullying victimization (a yes/no past-12-month measure). Per binding clarification, cyberbullying alone fails IC2. The IVs are parental monitoring score and family conflict score - neither is a qualifying SM/phone variable. Step 2: No composite SM variable analyzed."
80,Associations of Contemporary Screen Time Modalities With Early Adolescent Nutrition.,2024,10.1016/j.acap.2024.01.023,INCLUDE,,"Step 1 hit: Table 2 reports separate regression coefficients for texting (B=-0.15, 95%CI:-0.24,-0.05, p=.01) and social media (B=-0.16, 95%CI:-0.28,-0.05, p=.01) at Year 1, each paired with MIND diet nutrition sum score (a physical/dietary health outcome = individual-trait). Phone/SM-specific labels with own numeric estimates found in main results table."
81,Cyberbullying Victimization Among Transgender and Gender-Questioning Early Adolescents.,2025,10.1016/j.acap.2024.102624,EXCLUDE,FT-EC2,"The exposure variable is transgender/gender-questioning identity and the outcome is lifetime cyberbullying victimization. Neither is a qualifying phone/SM variable. Step 1: no numeric estimate in any results location (main tables, supplementary appendices A-B) where a phone/SM-specific variable label (time on social media, time on phone, texting, SM platform, SMAQ, MPIQ, etc.) appears as IV or DV..."
82,Prevalence and Patterns of Social Media Use in Early Adolescents.,2025,10.1016/j.acap.2025.102784,EXCLUDE,FT-EC2,"Step 1: Phone/SM-specific variables are present (time on named platforms TikTok/Instagram/Snapchat/YouTube, total social media time h/d, SMAQ score, number of accounts, secret account status), but every analysis pairs these SM variables against demographic-only variables (sex: male vs female; age group: under 13 vs 13+)."
83,Neighborhood Quality and Screen Use: Findings From the Adolescent Brain Cognitive Development Study,2026,10.1016/j.acap.2025.103164,EXCLUDE,FT-EC2,"Step 1: Numeric estimates (adjusted B) are reported for neighborhood quality indices (COI, SVI, ADI) predicting screen time modalities including digital socializing (texting, video chatting, social media)."
84,The association between screen time and cognitive function in children: The partially mediating role of putamen volume.,2026,10.1016/j.actpsy.2026.106742,INCLUDE,,"Step 1: Supplementary Table S1 (referenced in paper: 'We also examined the relationship between screen time on each digital device and each domain of cognitive function, and summarized the results in supporting information (Table S1 and Fig."
85,"Mobile phone ownership, social media use, and substance use at ages 11-13 in the ABCD study.",2025,10.1016/j.addbeh.2024.108211,INCLUDE,,"Step 1 hit: mobile phone ownership (yes/no) and social media use (yes/no, >=1 account) each have explicit OR and b coefficients paired with individual-trait outcomes (substance use: alcohol, nicotine/tobacco, cannabis). E.g., phone ownership b=0.29, OR=1.34 for alcohol (Table 2); social media use b=1.59, OR=4.91 for cannabis (Supplementary Table 4)."
86,"Prospective Associations Between Early Adolescent Problematic Screen Use, Mental Health, Sleep, and Substance Use.",2026,10.1016/j.amepre.2025.108248,INCLUDE,,"Step 1 hit: MPIQ (Mobile Phone Involvement Questionnaire) and SMAQ (Social Media Addiction Questionnaire) are phone/SM-specific variables appearing as IVs with regression coefficients (e.g., SMAQ predicting depressive problems β=0.42, OR for suicide behaviors=1.86;"
87,Associations between sexual orientation and early adolescent screen use: findings from the Adolescent Brain Cognitive Development (ABCD) Study.,2023,10.1016/j.annepidem.2023.03.004,EXCLUDE,FT-EC2,"Sexual orientation as IV predicting screen-time modalities (texting, SM hours, video chat, SMAQ, MPIQ) as DVs. Sexual orientation is an identity characteristic, not an individual-trait outcome — the analysis is a demographic-epidemiology characterization of who uses screens, which fails the FT-IC2 individual-trait other-side requirement."
88,Screen use in transgender and gender-questioning adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,2024,10.1016/j.annepidem.2024.04.013,EXCLUDE,FT-EC2,"Transgender / gender-questioning identity as IV predicting screen-time modalities (SM hours, texting, SMAQ, MPIQ) as DVs. Gender identity is an identity characteristic, not an individual-trait outcome — the analysis is a demographic-epidemiology characterization of screen use among trans/gender-questioning youth, which fails the FT-IC2 individual-trait other-side requirement."
90,The Association Between Social Media Consumption and White Matter Health in the Adolescent Brain Cognitive Development (ABCD) Dataset,2025,10.1016/j.biopsych.2025.02.102,EXCLUDE,FT-EC3,"SOBP 2025 conference symposium abstract published in the Biological Psychiatry meeting abstracts supplement (Vol 97, S36, May 2025; DOI 10.1016/j.biopsych.2025.02.102). It is a single-page talk summary with no methods section, no tables, no full statistical reporting -- not a peer-reviewed empirical full article. The biopsych.2025.02.102 DOI is from the supplement, not from a regular journal issue (S-prefixed page = supplement)."
91,Identification and Validation of Distinct Latent Neurodevelopmental Profiles in the Adolescent Brain and Cognitive Development Study.,2022,10.1016/j.bpsc.2021.02.013,EXCLUDE,FT-EC2,"Step 1: Screen time is the only screen-related variable analyzed. Its label 'screen time' is not phone/SM-specific, so Step 1 finds no phone/SM-specific estimate. Step 2: Per the supplement methods, the ABCD Youth Screen Time Survey composite includes time spent on TV shows/movies, YouTube videos, video games (computer/console/phone/other devices), texting, social networking, and video chatting --..."
92,The roles of delayed cortical maturation and lower anticipatory reward activation in predicting addictive screen use in youth.,2026,10.1016/j.bpsc.2026.03.012,EXCLUDE,FT-EC7,"All three EC7 conditions hold: (a) longitudinal design (Y0 neural measures predict Y2 ASU outcomes); (b) SM/phone use (addictive social media use, addictive phone use) is the DV in every analysis involving these variables -- neural variables are always IV and ASU measures are always DV; (c) there is no analysis anywhere in the paper with SM/phone as IV."
94,"Somatomotor Disconnection Links Sleep Duration With Socioeconomic Context, Screen Time, Cognition, and Psychopathology.",2025,10.1016/j.bpsgos.2025.100522,EXCLUDE,FT-EC2,"Step 1: The paper reports a numeric estimate for 'screen time' as a DV predicted by somatomotor disconnection (beta=0.13, p=2.6x10^-19, Figure 3A). However, the variable label is simply 'screen time' without phone/SM-specific labeling."
95,Elevated loss sensitivity in the reward circuit in adolescents with video game but not social media addiction,2025,10.1016/j.chb.2025.108554,INCLUDE,,"Step 1 hit: SMA (Social Media Addiction Questionnaire, SMAQ) is a qualifying SM-specific variable. SMA is included as an IV in every LMM predicting neural beta-weights (fMRI reward/loss sensitivity in nucleus accumbens, insula, ACC, amygdala, etc.) -- individual-trait neural outcomes."
96,Pixels and perception: Mapping the association between digital media and psychotic-like experiences in adolescents.,2024,10.1016/j.comppsych.2024.152509,INCLUDE,,"Step 1 hit: Tables 2-4 report network edge weights for ScrText (texting), ScrSM (social media: Facebook, Instagram), and ScrVChat (video calling on Skype, Discord) -- all qualifying phone/SM-specific variables -- paired with PLE symptoms (hallucinations, delusion of control, difficulty concentrating) across three time points."
97,Impact of digital screen media activity on functional brain organization in late childhood: Evidence from the ABCD study.,2023,10.1016/j.cortex.2023.09.009,INCLUDE,,"Step 1: The paper measures individual screen activities including social media ('Visit social networking sites like Facebook, Twitter, Instagram, etc.'), texting ('Text on a cell phone, tablet, or computer'), and video chat ('Video chat (Skype, Facetime, etc.)') as separate items. GFA factor loadings (Fig."
98,"Current, future and potential use of mobile and wearable technologies and social media data in the ABCD study to increase understanding of contributors to child health.",2018,10.1016/j.dcn.2018.03.008,EXCLUDE,FT-EC3,"Paper is a perspective/commentary piece outlining current, future, and potential use of mobile and wearable technologies in the ABCD study. It does not report any original empirical analysis of ABCD data -- no regression models, no statistical results, no outcome analyses."
100,Youth screen use in the ABCD(R) study.,2022,10.1016/j.dcn.2022.101150,EXCLUDE,FT-EC3,"This is a measurement/methods paper describing development of the ABCD screen use questionnaire, longitudinal descriptive changes in screen usage, and psychometric analyses (CFA, measurement invariance) of the SMAQ and VGAQ scales."
101,Negative impact of daily screen use on inhibitory control network in preadolescence: A two-year follow-up study.,2023,10.1016/j.dcn.2023.101218,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate found anywhere in main text, figures, or referenced supplementary tables. The sole exposure variable is the Screen-Activity Proportion (SAP = DailyScreenTime / [DailyScreenTime + DailyActivityTime])."
103,NowIKnowMyABCD: A global resource hub for researchers using data from the ABCD Study.,2024,10.1016/j.dcn.2024.101388,EXCLUDE,FT-EC3,"Paper introduces NowIKnowMyABCD, a community resource hub (GitHub discussion board + website) for ABCD researchers. No empirical analysis of ABCD data is reported. This is a resource/tool description paper equivalent to a study protocol or resource-availability paper. No statistical analyses, no outcomes, no participants analyzed."
105,Association of cyberbullying victimization and substance initiation: The Adolescent Brain Cognitive Development (ABCD) study,2023,10.1016/j.drugalcdep.2023.110920,EXCLUDE,FT-EC2,"Step 1: The only exposure variable is cyberbullying victimization (lifetime history and past-12-month history), measured by the question about being cyberbullied online, in texts, or on social media. No phone/SM-specific variable (time on phone, time on social media, named platform use, texting frequency, etc.) appears anywhere in the paper with its own numeric estimate."
106,Prospective association between screen use modalities and substance use experimentation in early adolescents.,2025,10.1016/j.drugalcdep.2024.112504,INCLUDE,,"Step 1 hit: social media time (h/d) has its own AOR estimate paired with substance use experimentation (individual-trait outcome). E.g., AOR for social media -> any substance experimentation = 1.20 (95% CI 1.14-1.26); texting -> any substance = AOR 1.18 (95% CI 1.12-1.24); video chatting -> any substance = AOR 1.09 (95% CI 1.03-1.16). Social media and texting are phone/SM-specific variables;"
107,Cannabis expectancies mediate the association between social media use and cannabis experimentation in early adolescents: A prospective cohort study.,2025,10.1016/j.drugalcdep.2025.112947,INCLUDE,,"Step 1 hit: social media time (h/d, Year 2) as IV with its own B coefficient paired with cannabis experimentation (Year 4) as DV: B=0.18 (95% CI 0.13-0.24, p<0.001). Social media time is a phone/SM-specific variable; cannabis experimentation is an individual-trait-level substance use outcome."
110,Longer screen time utilization is associated with the polygenic risk for Attention-deficit/hyperactivity disorder with mediation by brain white matter microstructure.,2022,10.1016/j.ebiom.2022.104039,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific per-modality estimate found anywhere in the paper. STU (screen time utilization) is the sole screen variable and is defined in Methods as 'total amount of self-reported time using various electronic devices on both typical weekdays and weekend days (abcd_ssmty01), such as spending time on Facebook or watching movies' -- a multi-device aggregate."
112,"Outdoor and indoor sources of residential radiofrequency electromagnetic fields, personal cell phone and cordless phone use, and cognitive function in 5-6 years old children.",2016,10.1016/j.envres.2016.06.021,EXCLUDE,FT-EC1,"The cohort studied is the Amsterdam Born Children and their Development (ABCD) Study (www.abcd-study.nl), a Dutch community-based cohort of children born 2003-2004 in Amsterdam, Netherlands. The methods section states: 'This study was embedded in the Amsterdam Born Children and their Development (ABCD) Study..."
115,"The longitudinal impact of screen media activities on brain function, architecture and mental health in early adolescence.",2025,10.1016/j.ijchp.2025.100589,INCLUDE,,"Step 1 hit: media-specific analyses report separate β coefficients for social media (e.g., β=0.032 internalizing, β=0.055 externalizing, pfdr<0.05) and texting (β=0.051 stress, pfdr=0.003), each paired with individual-trait-level mental health outcomes (internalizing, externalizing, stress problems)."
116,"Radiofrequency electromagnetic fields, screen time, and emotional and behavioural problems in 5-year-old children.",2019,10.1016/j.ijheh.2018.09.006,EXCLUDE,FT-EC1,"The cohort is the Amsterdam Born Children and their Development (ABCD) study in the Netherlands (n=3102 children aged 5 years, enrolled in Amsterdam 2003-2004). This is the Dutch ABCD cohort, not the U.S. NIH-funded Adolescent Brain Cognitive Development Study."
119,Youth Screen Media Activity Patterns and Associations With Behavioral Developmental Measures and Resting-state Brain Functional Connectivity.,2023,10.1016/j.jaac.2023.02.014,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable has its own separate numeric estimate anywhere. All results are expressed as SMA subgroup comparisons (binary dummy: subgroup 1 vs subgroup 2). Step 2: The SMA composite is measured via the 14-item ABCD STQ, which includes 'watching TV or movies, playing video games' alongside social network sites, video chat, texting, and frequency of mature-rated games and..."
121,Prospective Predictors of Adolescent Screen Time and Problematic Screen Use.,2025,10.1016/j.jaacop.2025.06.007,EXCLUDE,FT-EC7,"All three EC7 conditions hold: (a) longitudinal design -- baseline ages 9-10 predicting year 4 outcomes; (b) SM/phone variables (social media hours, SMAQ, MPIQ) are DV in every analysis; (c) no analysis anywhere in the paper uses SM/phone as IV -- individual-difference traits are always predictors and screen/SM/phone use outcomes are always DVs."
122,Developmental Pathways From Childhood Neurodevelopmental Traits to Early Adolescent Psychiatric Dimensions: The Role of Environmental and Lifestyle Factors.,2026,10.1016/j.jaacop.2025.11.011,EXCLUDE,FT-EC2,"Screen use variables (""social media,"" ""passive watching,"" ""active gaming,"" ""social engagement"") appear ONLY as candidate mediators in mediation models linking the neurodevelopmental spectrum (IV) to psychiatric dimensions (DV). In Figure 2, Figure 3, and Tables S2-S3, screen use is tested as mediator (path a: NDC -> screen use; path b: screen use -> outcome; path c': indirect effect)."
123,Social Media Usage and Its Association With the Social Media Addiction Questionnaire Scale Among Early Adolescents,2026,10.1016/j.jaacop.2026.02.003,EXCLUDE,FT-EC2,"The entire paper examines SM usage variables (hours/day, platform, account type, follower/following counts, secret account) as IVs predicting the SMAQ (Social Media Addiction Questionnaire) score as DV. Per the binding clarification, SMAQ is itself an SM/phone variable (problematic SM use scale), not an individual-trait-level outcome. Both sides of every analysis are SM variables."
124,Associations between screen time and internalizing disorder diagnoses among 9- to 10-year-olds.,2022,10.1016/j.jad.2022.05.071,INCLUDE,,"Step 1 hit: Table 3 reports separate ARR estimates for social media use (girls: ARR=2.20, 95% CI 1.13-4.30 for depressive disorders; boys: ARR=2.94, 95% CI 1.59-5.42) and texting (boys: ARR=2.30, 95% CI 1.34-3.97 for depressive disorders) -- phone/SM-specific variables paired with clinical DSM-5 internalizing disorder diagnoses (individual-trait mental health outcomes)."
126,Sleep Disturbance Predicts Depression Symptoms in Early Adolescence: Initial Findings From the Adolescent Brain Cognitive Development Study.,2020,10.1016/j.jadohealth.2019.12.005,EXCLUDE,FT-EC2,"Screen time appears only as a covariate in the sleep-mental health models, not as an IV or DV with its own reported coefficient. Methods state screen time (parent-reported time on computer, cellphone, tablet, iPod, and other devices) was included as a control variable. Results explicitly state: 'screen time was not included in the final models' after it failed to significantly improve model fit."
128,24-Hour Movement Behaviors and Internalizing and Externalizing Behaviors Among Youth.,2020,10.1016/j.jadohealth.2020.09.003,EXCLUDE,FT-EC2,"Step 1: No per-modality phone/SM-specific coefficient found anywhere in the paper. All regressions use an aggregate 'recreational screen time' composite as the exposure (measured in hours/day), categorized as meeting/not meeting the <=2h/day guideline. No separate estimate for texting, social media, video chat, or any phone-specific variable is reported in main tables or supplementary tables."
129,Transforming the Future of Adolescent Health: Opportunities From the Adolescent Brain Cognitive Development Study,2021,10.1016/j.jadohealth.2021.11.008,EXCLUDE,FT-EC3,"Paper is explicitly labeled 'Commentary' in the journal header. It describes the ABCD Study's design, scope, and open-science policy, and cites existing ABCD publications, but presents no original empirical analysis of ABCD data."
