title,authors,year,source,link,snippet,cited_by,pdf_link,gs_position,query
Screen Time and Young Brains: What the Research Really Says,G Nair,,theneuroplatform.com,https://theneuroplatform.com/2025/07/28/screen-time-and-young-brains-what-the-research-really-says/,"… from the Adolescent Brain Cognitive Development (ABCD) … imaging to track how screen time influences neural development… , so shows how increased screen time can be detrimental in …",,,6,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen time associated with substance use in young adolescents,A Knopf,,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/adaw.34344,… their information on data from the Adolescent Brain Cognitive Development (ABCD) study of … their information on data from the Adolescent Brain Cognitive Development (ABCD) study of …,,,7,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen media activity in youth: A critical review of mental health and neuroscience findings,"MP Paulus, Y Zhao, MN Potenza, RL Aupperle…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2950004423000184,"… -analyses reveal a significant association between SMA and mental health issues, particularly anxiety and depression, including specific negative effects linked to prolonged screen time…",55,,8,"""Adolescent Brain Cognitive Development"" ""screen time"""
Multivariate patterns of brain-behavior-environment associations in the adolescent brain and cognitive development study,"A Modabbernia, D Janiri, GE Doucet, A Reichenberg…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006322320318461,Background Adolescence is a critical developmental stage. A key challenge is to characterize how variation in adolescent brain organization relates to psychosocial and environmental …,99,https://www.biologicalpsychiatryjournal.com/article/S0006-3223(20)31846-1/pdf,9,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Abstract MP73: Long-Term Effects of Physical Activity, Sleep, and Screen-Time on Hypertension Incidence in Adolescents–ABCD Study","AC Ferreira De Moraes, E Hunt, D Brown…",,ahajournals.org,https://www.ahajournals.org/doi/abs/10.1161/cir.151.suppl_1.MP73,"… screen time influence the incidence of hypertension in adolescents within the Adolescent Brain Cognitive Development (… , sleep patterns, and screen time on hypertension incidence in …",1,,10,"""Adolescent Brain Cognitive Development"" ""screen time"""
Digital media use and cognitive networks in medical students: linking screen time with intelligence and academic performance,"A Hernández-Chávez, JB Uriarte-Ortiz…",,frontiersin.org,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1736060/full?utm_source=chatgpt.com,… the correlation between screen time and … screen time spent on various activities (quantitative use) rather than the qualitative nature of those activities. We acknowledge that screen time …,,,11,"""Adolescent Brain Cognitive Development"" ""screen time"""
Digital media and developing brains: Concerns and opportunities,"JS Hutton, JT Piotrowski, K Bagot, F Blumberg…",,Springer,https://link.springer.com/article/10.1007/s40429-024-00545-3,"… This is the rationale behind exemption of video chat from AAP screen-time recommendations, framed as a reasonable proxy [11]. For toddlers (12–30 months), evidence is inconsistent …",30,https://link.springer.com/content/pdf/10.1007/s40429-024-00545-3.pdf,12,"""Adolescent Brain Cognitive Development"" ""screen time"""
Adherence to 24-hour activity cycle and a whole brain volumetric approach in adolescence: A cross-sectional study–The Cogni-Action project,"C Cristi-Montero, J Sanchez-Martinez…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0278262625000223,"… This study suggests that adolescents’ daily habits—screen time, physical activity, and sleep… , as seen in the case of meeting screen time guidelines. As the first study conducted in Latin …",,,13,"""Adolescent Brain Cognitive Development"" ""screen time"""
How Does Screen Time Affect Young Minds? Jury Is Out,B Carey,,go.gale.com,https://go.gale.com/ps/i.do?id=GALE%7CA565165210&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=03624331&p=HRCA&sw=w,"… from the ABCD Study (for Adolescent Brain Cognitive Development), a $300 million project … use, concussions, and screen time. As part of an expose on screen time, ''60 Minutes'' …",1,,14,"""Adolescent Brain Cognitive Development"" ""screen time"""
From patterns to pathways in bedtime screen use and adolescent sleep,"JM Nagata, P Low, S Ramappa…",,sleephealthjournal.org,https://www.sleephealthjournal.org/article/S2352-7218(26)00013-6/abstract,"… may be more salient than broad screen time totals, and these … differ by sexual orientation, total screen time is higher 9 and sleep … from the Adolescent Brain Cognitive Development Study …",,,15,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Extracurricular activities, screen media activity, and sleep may be modifiable factors influencing children's cognitive functioning: Evidence from the ABCD study",MS Florence Breslin,,academia.edu,https://www.academia.edu/download/116742933/download.pdf,"… from 9,718 children from the Adolescent Brain Cognitive Development (ABCD) study to identify … , weekday screen time, neighborhood safety and crime, and basic needs unaffordability. …",,https://www.academia.edu/download/116742933/download.pdf,16,"""Adolescent Brain Cognitive Development"" ""screen time"""
Social media use trajectories and cognitive performance in adolescents,"JM Nagata, JH Wong, KE Kim, RA Richardson…",,jamanetwork.com,https://jamanetwork.com/journals/jama/article-abstract/2839941,"… screen time and cognitive performance in those aged 9 to 11 years from the Adolescent Brain Cognitive Development (… However, unlike passive screen time, social media use typically …",4,,17,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Associations between adverse childhood experiences, adolescent screen time and physical activity during the COVID-19 pandemic","JH Raney, A Testa, DB Jackson, KT Ganson…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1876285922003527,"… This study used data from the Adolescent Brain Cognitive Development (ABCD) Study, a large, diverse, prospective cohort study of brain development and health across adolescents …",39,,18,"""Adolescent Brain Cognitive Development"" ""screen time"""
Neurocognitive and brain structure correlates of reading and television habits in early adolescence,"AM Rauschecker, P Nedelec, S Pan, M Olaru…",,nature.com,https://www.nature.com/articles/s41598-025-88398-2,"… a negative association of screen time and television viewing … Indeed, there is evidence that screen time and reading have … , during which overall screen time increased substantially for …",4,https://www.nature.com/articles/s41598-025-88398-2.pdf,19,"""Adolescent Brain Cognitive Development"" ""screen time"""
Associations of adolescent social media use trajectories with spatial and verbal memory: a prospective cohort study,"JM Nagata, JH Wong, KE Kim, S Nayak…",,thelancet.com,https://www.thelancet.com/journals/lanam/article/PIIS2667-193X(26)00084-0/fulltext,"… screen time and working memory. Additionally, a systematic review of existing reviews observing a broad range of screen time … of the Adolescent Brain Cognitive Development (ABCD) …",1,https://www.thelancet.com/pdfs/journals/lanam/PIIS2667-193X(26)00084-0.pdf,20,"""Adolescent Brain Cognitive Development"" ""screen time"""
Digital media and the developing brain,"M Chiu, J Chein",,books.google.com,https://books.google.com/books?hl=en&lr=&id=SDCHEAAAQBAJ&oi=fnd&pg=PA104&dq=%22Adolescent+Brain+Cognitive+Development%22+%22social+media%22&ots=IeHsjdykEr&sig=vu3-g0en97Rraz1g-ih18Abqx4k,"… Since digital media, and especially social media, have become such an important source of … first cross-sectional release of the Adolescent Brain Cognitive Development (ABCD) study (…",7,https://perpus.rsmenur.com/uploaded_files/temporary/DigitalCollection/MDJmNTJiY2QzYjMzM2Y2OGQ1MWU0MTA3Yzg2MGFiNDk2MmE5ZGZjNg==.pdf#page=122,18,"""Adolescent Brain Cognitive Development"" ""social media"""
Association of cyberbullying victimization and substance initiation: The Adolescent Brain Cognitive Development (ABCD) study,"IY Shao, AAA Al-Shoaibi, N Trompeter, A Testa…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0376871623011584,"… Online social media and social network provides a platform for adolescents to gain acceptance from others, especially if such acceptance is not available in real-life settings. …",10,https://www.sciencedirect.com/science/article/am/pii/S0376871623011584,3,"""Adolescent Brain Cognitive Development"" ""social media"""
Long-term impact of digital media on brain development in children,"S Nivins, B Sauce, M Liebherr, N Judd, T Klingberg",,nature.com,https://www.nature.com/articles/s41598-024-63566-y,… studies like the Adolescent Brain Cognitive Development (ABCD) … social media usage at T 0 could predict total changes in cerebellum volumes (T 4 –T 0 ) and found that social media …,43,https://www.nature.com/articles/s41598-024-63566-y.pdf,7,"""Adolescent Brain Cognitive Development"" ""social media"""
Associations between social media and crystallized and fluid performance trajectories in early adolescence,"C Carvalho, N Ravindran",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jora.70125,"… This study involved secondary analyses of existing, de-identified data from the Adolescent Brain Cognitive Development (ABCD) Study, which were obtained from the National Institute …",,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jora.70125,10,"""Adolescent Brain Cognitive Development"" ""social media"""
Digital media does not harm (nor benefit) brain development in children,"S Nivins, B Sauce, M Liebherr, N Judd, T Klingberg",,medrxiv.org,https://www.medrxiv.org/content/10.1101/2022.07.01.22277142.abstract,"… in large-scale studies like the Adolescent Brain Cognitive Development (ABCD) study, where … We then investigated whether social media usage at T 0 could predict total changes in …",,https://www.medrxiv.org/content/10.1101/2022.07.01.22277142.full.pdf,12,"""Adolescent Brain Cognitive Development"" ""social media"""
Developmental changes in brain function linked with addiction-like social media use two years later,"JS Flannery, K Burnell, SJ Kwon…",,academic.oup.com,https://academic.oup.com/scan/article-abstract/19/1/nsae008/7604373,"… social media addiction/addiction-like social media use measures (with some minor deviations, as to be expected with variations across recruited samples). For example, past research …",23,https://academic.oup.com/scan/article-pdf/19/1/nsae008/56686490/nsae008.pdf,14,"""Adolescent Brain Cognitive Development"" ""social media"""
Adolescent brain development and contextual influences: A decade in review,A Galván,,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jora.12687,"… social media worldwide has also led to increased attention to the relationship between social media … 10-year longitudinal Adolescent Brain Cognitive Development study, will advance …",98,,16,"""Adolescent Brain Cognitive Development"" ""social media"""
Connectome-based prediction of problematic use of social media in adolescents: Findings from the ABCD study,"JJ Park, CM Lacadie, Y Zhao, MN Potenza",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811926001461,… Problematic use of social media (PUSM) is a major public health concern estimated to affect … We included 2294 participants from the Adolescent Brain Cognitive Development study (M …,,,19,"""Adolescent Brain Cognitive Development"" ""social media"""
Social Media Use and Early Adolescent Brain Structure: Findings from the Adolescent Brain Cognitive Development (ABCD) Study,"JM Nagata, K Bao, SB Murray, P Nedelec…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811926001771,"Many adolescents initiate social media use during early adolescence, but the associations of early social media use with neurodevelopment have not been extensively studied. We …",,,3,"""Adolescent Brain Cognitive Development"" ""social media"""
Prevalence and patterns of social media use in early adolescents,"JM Nagata, Z Memon, J Talebloo, K Li, P Low…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1876285925000099,… We analyzed the social media use data in the Adolescent Brain Cognitive Development Study (… Prior analyses of the Adolescent Brain Cognitive Development (ABCD) Study in the US …,47,,5,"""Adolescent Brain Cognitive Development"" ""social media"""
Responsible use of open-access developmental data: The adolescent brain cognitive development (ABCD) study,"C Simmons, MI Conley, DG Gee…",,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/09567976211003564,"… Here, we use the Adolescent Brain Cognitive Development (ABCD) Study, the … samples, are the Adolescent Brain Cognitive Development study (ABCD; United … Share on social media …",66,https://pmc.ncbi.nlm.nih.gov/articles/PMC8726588/pdf/10.1177_09567976211003564.pdf,9,"""Adolescent Brain Cognitive Development"" ""social media"""
Neural Sensitivity to Social Media Use: Implications for Sleep Duration in Adolescents,"O Kiss, L Zhang, B Chaarani…",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jsr.70325,"… shapes how social media influences … , social media use and brain activation in 1985 adolescents (mean age, Year 2 = 11.91 years) from the Adolescent Brain Cognitive Development (…",,,10,"""Adolescent Brain Cognitive Development"" ""social media"""
Relationship between social media use and reward processing across adolescent development,"L Tomova, T Foldes, A Orben, A Przybylski",,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5958717,"… Yet, it is unclear whether frequent social media use, in turn, … In this registered report, we will study if and how social media … of time spent engaging with social media online platforms and …",,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5958717,14,"""Adolescent Brain Cognitive Development"" ""social media"""
Social media use and depressive symptoms during early adolescence,"JM Nagata, CD Otmar, J Shim…",,jamanetwork.com,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2834349,"… To address this gap, we leveraged data from the Adolescent Brain Cognitive Development (ABCD) Study, an ongoing national prospective cohort study that tracks participants over …",58,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2834349/nagata_2025_oi_250397_1747250354.31608.pdf,15,"""Adolescent Brain Cognitive Development"" ""social media"""
Middle School Teachers' Perceptions Of The Impact Digital Consumption Has On Adolescent Cognitive And Behavioral Abilities: A Case Study,L Lambert,,digitalcommons.liberty.edu,https://digitalcommons.liberty.edu/doctoral/7254/,The purpose of this case study was to understand student digital consumption and its potential implications on cognitive and behavioral development at a suburban middle school in …,,https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=8313&context=doctoral,19,"""Adolescent Brain Cognitive Development"" ""social media"""
Probing the digital exposome: associations of social media use patterns with youth mental health,"D Pagliaccio, KT Tran, E Visoki…",,nature.com,https://www.nature.com/articles/s44277-024-00006-9,"… from the Adolescent Brain Cognitive Development (ABCD) … between specific facets of adolescent social media use (eg, type … exposures, in particular social media use, contribute to the …",23,https://www.nature.com/articles/s44277-024-00006-9.pdf,1,"""Adolescent Brain Cognitive Development"" ""social media"""
"ACEs, Problematic Social Media Use, and Emotional/Behavioral Dysregulation Among ABCD® Study Adolescents","SM Rodrigues, Q Wang, A Saghafi…",,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/01612840.2025.2559062,"… Dramatic increases in adolescent social media use have … ACEs exposure and problematic social media use (PSMU), … -up in the Adolescent Brain Cognitive Development Study (ABCD …",,https://www.tandfonline.com/doi/pdf/10.1080/01612840.2025.2559062,3,"""Adolescent Brain Cognitive Development"" ""social media"""
Are smartphones really destroying the adolescent brain?,"C Flora, A Apparatus",,JSTOR,https://www.jstor.org/stable/27173354,… anxiety” on college campuses and named social media as a contributing factor. These stories … The ABCD (Adolescent Brain Cognitive Development) study has receivedfunding of $300 …,13,,4,"""Adolescent Brain Cognitive Development"" ""social media"""
Online social activity time predicts ADHD problems in youth from late childhood to early adolescence in the ABCD study,"H Deng, K Song, X Geng, L Xu, J Zhang, X Li…",,Springer,https://link.springer.com/article/10.1007/s00787-024-02620-6,"… data from the Adolescent Brain Cognitive Development (ABCD) … in OSA (eg, using social media, video chatting) could … (eg, examining the effect of social media use at T1 on ADHD …",4,https://drive.google.com/file/d/1Z7ClFIr01Dfr1zG-JdSQstbUBM-VdnMW/view,5,"""Adolescent Brain Cognitive Development"" ""social media"""
Mild traumatic brain injury and behavior and sleep among 9-and 10-year old children: Initial findings from the adolescent brain cognitive development (ABCD) study,"C Sheth, RS Huber, PF Renshaw…",,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/02724316221117508,… This study used data from the Adolescent Brain Cognitive Development SM (ABCD) study to investigate associations between mTBI and behavior and sleep in … Share on social media …,12,https://pmc.ncbi.nlm.nih.gov/articles/PMC10540300/pdf/nihms-1875515.pdf,6,"""Adolescent Brain Cognitive Development"" ""social media"""
NIH's Adolescent Brain Cognitive Development (ABCD) Study,"A Research, CRE Staff",,pmc.ncbi.nlm.nih.gov,https://pmc.ncbi.nlm.nih.gov/articles/PMC6104964/,"… These data are expected to illuminate how brain development is affected by substance use and other childhood experiences, such as patterns of sleep, use of social media, and …",30,,8,"""Adolescent Brain Cognitive Development"" ""social media"""
"… , and Mental Health Problems in Adolescents: Neuroimaging, Retrospective Longitudinal Cohort Study Using the Adolescent Brain Cognitive Development …","X Zhang, C Xie, Y Chen, B Qiu",,jmir.org,https://www.jmir.org/2026/1/e75126/,"… is a critical period during which the neurodevelopment is particularly vulnerable to bullying [66] and highly sensitive to acceptance and rejection, especially through social media [67]. …",,,10,"""Adolescent Brain Cognitive Development"" ""social media"""
"Current, future and potential use of mobile and wearable technologies and social media data in the ABCD study to increase understanding of contributors to …","KS Bagot, SA Matthews, M Mason, LM Squeglia…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929317300786,"… In the Adolescent Brain Cognitive Development (ABCD) Study, there is great potential for harnessing the acceptability, accessibility, and functionality of mobile and social technologies …",161,,13,"""Adolescent Brain Cognitive Development"" ""social media"""
… bipolar and major depressive disorder in adolescents based on multimodal neuroimaging: Results from the Adolescent Brain Cognitive Development study®,"Y Liu, K Chen, Y Luo, J Wu, Q Xiang, L Peng…",,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/20552076221123705,"… We collected 309 samples from the Adolescent Brain Cognitive Development study, including 116 adolescents with bipolar disorder, 64 adolescents with major … Share on social media …",13,https://journals.sagepub.com/doi/pdf/10.1177/20552076221123705,14,"""Adolescent Brain Cognitive Development"" ""social media"""
"From “online brains” to “online lives”: understanding the individualized impacts of Internet use across psychological, cognitive and social dimensions","J Firth, J Torous, JF López‐Gil, J Linardon…",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/wps.21188,"… social media compared with a control group 18 , whilst another crossover trial in the UK found that daily withdrawal from social media … , the Adolescent Brain Cognitive Development (…",83,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wps.21188,15,"""Adolescent Brain Cognitive Development"" ""social media"""
Examining measurement discrepancies in adolescent screen media activity with insights from the ABCD study,"Y Zhao, X Han, KS Bagot, SF Tapert…",,nature.com,https://www.nature.com/articles/s44184-025-00131-z,"… logged SMA from the adolescent brain cognitive development (ABCD) … social media and game apps as defined by Google Play, respectively. Snapchat was labeled as a social media …",5,https://www.nature.com/articles/s44184-025-00131-z.pdf,16,"""Adolescent Brain Cognitive Development"" ""social media"""
Treatment considerations for adolescents who exhibit cognitive/communication problems: A neuroscience perspective,MS Burns,,pubs.asha.org,https://pubs.asha.org/doi/abs/10.1044/2020_PERSP-20-00071,"Purpose Adolescence is a period of substantial neurophysiological and behavioral growth, representing a second sensitive period of brain development. It is a psychological and social …",4,,18,"""Adolescent Brain Cognitive Development"" ""social media"""
Adolescent brain development: Implications for understanding risk and resilience processes through neuroimaging research,"AS Morris, LM Squeglia, J Jacobus…",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jora.12379,… Adolescent Brain Cognitive Development (ABCD) study. … the landmark Adolescent Brain Cognitive Development (ABCD) … development is influenced by social media and screen time in …,75,https://pmc.ncbi.nlm.nih.gov/articles/PMC6474358/pdf/nihms-1021408.pdf,1,"""Adolescent Brain Cognitive Development"" ""social media"""
Problematic social media use and alcohol expectancies in early adolescents,"JM Nagata, N Smith, G Zamora, OM Sajjad…",,Springer,https://link.springer.com/article/10.1186/s12889-023-15298-3,… The current study examines the association between problematic social media … Adolescent Brain Cognitive Development (ABCD) Study. We hypothesized that problematic social media …,25,https://link.springer.com/content/pdf/10.1186/s12889-023-15298-3.pdf,2,"""Adolescent Brain Cognitive Development"" ""social media"""
Gender diversity and daily steps: Findings from the adolescent brain cognitive development study,"JM Nagata, S Sui, AE Kim, IY Shao, CD Otmar…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1047279724002667,"… This study analyzed Year 2 data from the Adolescent Brain Cognitive Development (ABCD) Study (N = 6038, M age =12.0 years). Linear regression models were used to estimate the …",5,,4,"""Adolescent Brain Cognitive Development"" ""social media"""
"Benign versus problematic media use profiles in youth: Correlates, concerns, and future directions","L Eales, A Wiglesworth, B Klimes-Dougan…",,jaacap.org,https://www.jaacap.org/article/S0890-8567(23)00247-2/abstract,"… used the Adolescent Brain Cognitive Development Study (ABCD Study) to assess SMA and its … Social media use was minimal in both of the ABCD data waves, but much higher in the (…",3,,7,"""Adolescent Brain Cognitive Development"" ""social media"""
"Communications, engagement, and dissemination strategies for the HEALthy Brain and Child Development (HBCD) Study","KM Cole, CJ Jordan, M Parkinson, KR Estrada…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929324000926,"… as the Adolescent Brain Cognitive Development SM Study, … social media efforts are focused on Facebook and Instagram professional (business) accounts, although other social media …",8,,8,"""Adolescent Brain Cognitive Development"" ""social media"""
Sexual orientation disparities in early adolescent sleep: findings from the adolescent brain cognitive development study,"JM Nagata, CM Lee, JH Yang, O Kiss…",,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1089/lgbt.2022.0268,… We conducted a cross-sectional analysis of data from Year 2 of the Adolescent Brain Cognitive Development (ABCD) Study (4.0 release). The ABCD study is a … Share on social media …,18,https://pmc.ncbi.nlm.nih.gov/articles/PMC10316530/pdf/lgbt.2022.0268.pdf,9,"""Adolescent Brain Cognitive Development"" ""social media"""
"0148 Interconnected dynamics of sleep duration, social media engagement, and neural reward responses in adolescents","O Kiss, L Zhang, E Müller-Oehring, B Bland-Boyd…",,academic.oup.com,https://academic.oup.com/sleep/article-abstract/47/Supplement_1/A64/7654204,"… social media use, self… Adolescent Brain Cognitive Development (ABCD) Study®. Sleep duration was assessed from the Munich Chronotype questionnaire, and recreational social media …",3,,10,"""Adolescent Brain Cognitive Development"" ""social media"""
Youth screen use in the ABCD® study,"KS Bagot, RL Tomko, AT Marshall, J Hermann…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929322000937,"… in the Adolescent Brain Cognitive Development (ABCD) Study, … analyses of adapted social media and video game addiction … The social media addiction questionnaire (SMAQ) showed …",96,,12,"""Adolescent Brain Cognitive Development"" ""social media"""
Developmental consequences of the digitally-mediated landscape: implications for empathic processing at the neural and behavioural levels-of-analysis during the …,CA Banga,,era.ed.ac.uk,https://era.ed.ac.uk/handle/1842/40776,"… patterns map onto the historical invention, subsequent adoption, and eventual market saturation of digital technologies including the internet, smartphones, and social media. Such …",,https://era.ed.ac.uk/bitstream/handle/1842/40776/BangaCA_2023.pdf?sequence=1&isAllowed=y,15,"""Adolescent Brain Cognitive Development"" ""social media"""
Concurrent and prospective associations of social media usage with binge eating symptoms in early adolescence,"X Shi, SA Duck, E Jansen, B Borsarini, CK Blackwell…",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/oby.24199,"… Data for this study came from the Adolescent Brain Cognitive Development (ABCD) Study, which recruited a diverse sample of children aged 9 to 10 years from 21 US sites, closely …",2,,16,"""Adolescent Brain Cognitive Development"" ""social media"""
The roles of delayed cortical maturation and lower anticipatory reward activation in predicting addictive screen use in youth,"KJ Paige, M Angstadt, ME Martz, LW Hyde…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2451902226000856,"… fMRI data from the Adolescent Brain Cognitive Development (ABCD) Study® at baseline (Y0; ages 9-10) to predict addictive videogaming, addictive social media use, addictive phone …",,,18,"""Adolescent Brain Cognitive Development"" ""social media"""
Gene-environment interactions in the influence of maternal education on adolescent neurodevelopment using ABCD study,"R Shi, X Chang, T Banaschewski, GJ Barker…",,science.org,https://www.science.org/doi/abs/10.1126/sciadv.adp3751,"… Here, we conducted gene-environment–wide interaction study using the Adolescent Brain Cognitive Development cohort. Seven genomic loci with significant gene-environment …",9,https://www.science.org/doi/pdf/10.1126/sciadv.adp3751,19,"""Adolescent Brain Cognitive Development"" ""social media"""
The adolescent brain cognitive development (ABCD) study: imaging acquisition across 21 sites,"BJ Casey, T Cannonier, MI Conley, AO Cohen…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929317301214,"The ABCD study is recruiting and following the brain development and health of over 10,000 9–10 year olds through adolescence. The imaging component of the study was developed …",2530,,8,"""Adolescent Brain Cognitive Development"" smartphone"
Meaningful associations in the adolescent brain cognitive development study,"AS Dick, DA Lopez, AL Watts, S Heeringa, C Reuter…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811921005395,The Adolescent Brain Cognitive Development (ABCD) Study is the largest single-cohort prospective longitudinal study of neurodevelopment and children's health in the United States. A …,275,,9,"""Adolescent Brain Cognitive Development"" smartphone"
"Smartphone Ownership, Age of Smartphone Acquisition, and Health Outcomes in Early Adolescence","R Barzilay, SD Pimentel, KT Tran, E Visoki…",,publications.aap.org,https://publications.aap.org/pediatrics/article-abstract/doi/10.1542/peds.2025-072941,"… a smartphone relates to health outcomes in early adolescence. Accordingly, we used data from the Adolescent Brain Cognitive Development (ABCD) … We hypothesized that smartphone …",8,https://www.statnews.com/wp-content/uploads/2026/02/15_Smartphone-Ownership-Age-of-Smartphone-Acquisition-and-Health-Outcomes-in-Early-Adolescence.pdf,12,"""Adolescent Brain Cognitive Development"" smartphone"
Optimization Evaluation on Adolescent Cognitive Developmental Behavior Activity Measured by Digital Health Device.,"PJ Kim, AG Kim",,terra-docs.s3.us-east-2.amazonaws …,https://terra-docs.s3.us-east-2.amazonaws.com/IJHSR/Articles/volume6-issue8/IJHSR_2024_68_39.pdf,"… that incorporates smart wearables for adolescent brain cognitive development (ABCD), we … age) were collected from the ABCD mobile technology program as a part of the BYOD …",,https://terra-docs.s3.us-east-2.amazonaws.com/IJHSR/Articles/volume6-issue8/IJHSR_2024_68_39.pdf,16,"""Adolescent Brain Cognitive Development"" smartphone"
Sociodemographic Associations With Early Smartphone Ownership in US Adolescents,"CA Carvalho, N Ravindran, C Howard, A Oshri…",,publications.aap.org,https://publications.aap.org/pediatrics/article/doi/10.1542/peds.2025-073891/206084,… This cutoff was based on prior studies showing youth receive smartphones near the age of 10 years on average.Analyses applied Adolescent Brain Cognitive Development (ABCD) …,,,17,"""Adolescent Brain Cognitive Development"" smartphone"
One-year predictions of delayed reward discounting in the adolescent brain cognitive development study.,"MM Owens, S Hahn, N Allgaier…",,psycnet.apa.org,https://psycnet.apa.org/record/2022-13146-001,"… , and smartphones. A recent study measured young adults‟ smartphone use through self-… this article were obtained from the Adolescent Brain Cognitive Development (ABCD) Study (…",17,https://psycnet.apa.org/manuscript/2022-13146-001.pdf,18,"""Adolescent Brain Cognitive Development"" smartphone"
The role of smartphones in adolescent-parent discrepancy in reporting adolescents' internalizing problems,"C Carvalho, K Koss, N Ravindran",,cambridge.org,https://www.cambridge.org/core/journals/development-and-psychopathology/article/role-of-smartphones-in-adolescentparent-discrepancy-in-reporting-adolescents-internalizing-problems/7D6DA13FB0D77B9BCE017551FB950A08,"… The present study utilized data from the Adolescent Brain Cognitive Development (ABCD) Study, which is a publicly available dataset. The ABCD study was conducted in compliance …",,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7D6DA13FB0D77B9BCE017551FB950A08/S0954579425100618a.pdf/the-role-of-smartphones-in-adolescent-parent-discrepancy-in-reporting-adolescents-internalizing-problems.pdf,4,"""Adolescent Brain Cognitive Development"" smartphone"
How Smartphones Affect the Social-Emotional Development of Adolescents,D Balan,,jessup.edu,https://jessup.edu/wp-content/uploads/2023/12/Fall-2023-The-Journal-of-Epistemology-The-Theology-of-Knowledge.pdf#page=6,"… Sleep disturbance predicts depression symptoms in early adolescence: Initial findings from the adolescent brain cognitive development study. Journal of Adolescent Health, 66 (5), 567–…",,https://jessup.edu/wp-content/uploads/2023/12/Fall-2023-The-Journal-of-Epistemology-The-Theology-of-Knowledge.pdf#page=6,8,"""Adolescent Brain Cognitive Development"" smartphone"
Responsible research in health disparities using the Adolescent Brain Cognitive DevelopmentSM (ABCD) study,"MR Gonzalez, C Cardenas-Iniguez, DE Linares…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929324001580,Purpose The Adolescent Brain Cognitive Development SM (ABCD) Study is the largest longitudinal study on brain development and adolescent health in the United States. The study …,8,,13,"""Adolescent Brain Cognitive Development"" smartphone"
Passively sensing smartphone use in teens with rates of use by sex and across operating systems,"JD Alexander, J Linkersdörfer, K Toda-Thorne…",,nature.com,https://www.nature.com/articles/s41598-024-68467-8,"… use Apple smartphones 13 , suggesting our understanding of adolescent smartphone use patterns … Recently, the Adolescent Brain Cognitive Development (ABCD) Study 14 , a large, …",19,https://www.nature.com/articles/s41598-024-68467-8.pdf,17,"""Adolescent Brain Cognitive Development"" smartphone"
Brain imaging and the difficulties of understanding cognitive development,"HA Hasan, M Adile, A Hussian…",,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10434098/,"… Through in-depth comparisons with widespread datasets together with FMR-TI and the Adolescent Brain Cognitive Development (ABCD) dataset, the check very well evaluates the …",,,20,"""Adolescent Brain Cognitive Development"" smartphone"
