paper_id,doi,title,first_author,year,journal,has_pdf,FT_IC1_C1,FT_IC1_C2,FT_IC1_C1_evidence,FT_IC1_C2_evidence,FT_IC1_RESOLVE,FT_IC1_RESOLVE_evidence,FT_IC1_FINAL,FT_IC2_C1,FT_IC2_C2,FT_IC2_C1_evidence,FT_IC2_C2_evidence,FT_IC2_RESOLVE,FT_IC2_RESOLVE_evidence,FT_IC2_FINAL,FT_IC3_C1,FT_IC3_C2,FT_IC3_C1_evidence,FT_IC3_C2_evidence,FT_IC3_RESOLVE,FT_IC3_RESOLVE_evidence,FT_IC3_FINAL,FT_IC4_C1,FT_IC4_C2,FT_IC4_C1_evidence,FT_IC4_C2_evidence,FT_IC4_RESOLVE,FT_IC4_RESOLVE_evidence,FT_IC4_FINAL,FT_IC5_C1,FT_IC5_C2,FT_IC5_C1_evidence,FT_IC5_C2_evidence,FT_IC5_RESOLVE,FT_IC5_RESOLVE_evidence,FT_IC5_FINAL,FT_IC6_C1,FT_IC6_C2,FT_IC6_C1_evidence,FT_IC6_C2_evidence,FT_IC6_RESOLVE,FT_IC6_RESOLVE_evidence,FT_IC6_FINAL,FINAL_DECISION,FINAL_EXCLUSION_CODE,FINAL_FAILED_CRITERION,FINAL_REASON,C1_edge_cases,C2_edge_cases,RESOLVER_edge_cases
175,10.1037/fam0001390,Youth electronic media use and family conflict: Bidirectional associations across early adolescence.,"Carvalho, Cory",2025.0,Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43),1,MET,MET,"Paper explicitly analyzes ABCD data across baseline (T1) and 3-year follow-up (T4) with N=11,876 youth, states 'ABCD Study received over 11,500 adolescents aged 9-10 across 21 sites.'","Paper explicitly analyzes ABCD Study data across baseline and 3-year follow-up timepoints (T1-T4; N=11,876 baseline, N=10,335 at 3-year follow-up).",,,MET,MET,MET,"Multiple screen variables measured: total electronic media use (EMU), video viewing, video games, social media, and texting. Screen time measured via Screen Time Questionnaire across all timepoints.","Measures multiple screen variables: total electronic media use, video games, social media, texting, video viewing using Screen Time Questionnaire at T1-T4.",,,MET,MET,MET,"Bidirectional associations tested: EMU ↔ family conflict. Path coefficients reported: total EMU predicts later family conflict (β=.33, p<.001), family conflict predicts higher EMU (β=-.44, p<.001). Social EMU negatively associated with family conflict in girls (β=-.15, p<.001).","Reports screen↔non-screen inferential tests: bidirectional cross-lagged panel models testing total EMU and family conflict; reports path coefficients (e.g., total EMU→family conflict β=.33, p<.001; family conflict→social EMU β=.10, p<.001).",,,MET,MET,MET,"Multiple numeric coefficients reported in figures and tables: β=.33 (total EMU→family conflict), β=-.44 (family conflict→EMU), β=-.15 (social EMU in girls), 95% CIs provided [0.07, 0.13], [−0.03, 0.01].","Numeric coefficients reported throughout: Figure 1 shows β values for paths (e.g., .23, .13, .10 for EMU→family conflict paths); Table 1 provides correlations; Figure 3 shows β=.10 for income→social EM in boys model.",,,MET,MET,MET,"Original longitudinal analysis with random-intercept crosslagged panel model testing bidirectional effects across 4 timepoints (T1, T2, T3, T4) spanning 3 years of early adolescence.",Original longitudinal empirical analysis using random-intercept crosslagged panel models examining bidirectional effects across 3 years of ABCD data.,,,MET,MET,MET,Peer-reviewed journal article published in Journal of Family Psychology (2025).,"Peer-reviewed journal article (Journal of Family Psychology, 2025).",,,MET,INCLUDE,,,All 6 criteria MET,E14,E1,
310,10.1111/jora.70125,Associations between social media and crystallized and fluid performance trajectories in early adolescence.,"Carvalho, Cory",2025.0,Journal of research on adolescence : the official journal of the Society for Research on Adolescence,1,MET,MET,"Paper uses ABCD Study data (baseline Y0: N=11,876; 2-year follow-up Y2: N=100,972; 4-year follow-up Y4: N=4,754). Sample described as representative U.S. adolescents.","Uses ABCD Study data at baseline (Y0: N=11,876) and three follow-ups (Y2: N=100,972; Y4: N=4,754; M_age=14.1).",,,MET,MET,MET,Social media use measured via self-report survey questions assessing weekday and weekend social media hours. Responses coded into weighted average of weekend (2/7) and weekday (5/7) hours.,Measures social media use via self-reported weekday/weekend hours using Screen Time Questionnaire; coded as weighted average of weekend/weekday social media time.,,,MET,MET,MET,"Associations between social media use and cognitive performance trajectories tested: social media hours ↔ crystallized abilities (β=−.04, p=.024), social media hours ↔ fluid abilities (negative relationship, p<.001), inhibitory control/attention (β=.06, p<.001).","Reports screen↔non-screen associations: parallel-process latent growth curve models testing social media hours against crystallized and fluid cognitive abilities trajectories; reports multiple path coefficients (e.g., intercept-slope covariances; Table 3 reports intercept associations β=−.04, p=.024; slope associations β=−.36, p<.001).",,,MET,MET,MET,"Numeric coefficients reported: intercept-slope associations (β=−.04, p=.024), parallel process model slopes with p-values and 95% CIs reported in Table 3, e.g., β=.06, p=.001.","Numeric results reported: Table 2 shows unstandardized estimates with SEs and p-values for growth models; Table 3 reports β coefficients and p-values for parallel-process model (e.g., social media hours→crystallized abilities intercept β=−.04, p=.024; slope β=−.36, p<.001).",,,MET,MET,MET,"Original longitudinal empirical analysis using parallel-process latent growth curve models across 4 years of early adolescence (Y0, Y2, Y4).",Original empirical longitudinal analysis using parallel-process latent growth curve models examining concurrent trajectories of social media use and cognitive abilities over 4 years.,,,MET,MET,MET,Peer-reviewed journal article published in Journal of Research on Adolescence (2025).,"Peer-reviewed journal article (Journal of Research on Adolescence, 2025).",,,MET,INCLUDE,,,All 6 criteria MET,,"E1,E3",
172,10.1037/ccp0000912,Evaluating hypothetical prevention strategies for internalizing symptoms in the general population and at-risk children.,"Dall'Aglio, Lorenza",2025.0,Journal of consulting and clinical psychology,1,MET,MET,"Paper uses ABCD Study data (N=8,699) and Generation R Study (N=3,739). ABCD analyses explicitly use ABCD sample. Confirms 'Data were obtained from the Adolescent Brain Cognitive Development (ABCD) Study.'","Data from ABCD Study (N=8,699 at T1) and Generation R Study (N=3,739); analyses explicitly test modifiable factors for internalizing symptoms using ABCD sample with ~9-10 year olds.",,,MET,MET,MET,"Screen time measured as primary exposure: daily screen time (hrs/day) and modality-specific ST (sleep duration, physical activity, screen time covariates). Paper evaluates 'hypothetical prevention strategies for...screen time.'",Measures screen time (ST) as modifiable factor; assessed via self-reported hours per day of screen use in ABCD cohort (ages 9-11 hr; ≤8 hr measured objectively via triaxial accelerometry).,,,MET,MET,MET,"Screen time ↔ internalizing symptoms associations tested using target trial emulation (TTE) framework. Inferential tests reported: Step 1 observed associations (e.g., greater ST associated with more internalizing symptoms in ABCD, estimate=0.275, p=.002). G-formula estimates reported for hypothetical interventions.","Reports screen↔non-screen associations: Step 1 observational longitudinal associations between ST and internalizing symptoms under target trial emulation (TTE) conditions; Table 2 reports cross-sectional (β=0.308, p<.001) and longitudinal (β=0.480, p<.001) ST-internalizing associations. Step 2 G-formula predictions for hypothetical ST interventions on internalizing symptoms (Table 3 reports ATEs with 95% CIs).",,,MET,MET,MET,"Numeric coefficients throughout: TTE Step 1 estimates (0.275, SE=.088, p=.002), G-formula ATEs reported with 95% CIs (e.g., ATE=−.090, 95% CI [−0.138, −0.041]). Table 2 provides observed associations with SE and p-values.","Numeric results throughout: Table 2 shows β estimates, SEs, and p-values for ST↔internalizing associations (e.g., cross-sectional β=0.308, SE=0.076, p<.001; longitudinal β=0.480, SE=0.089, p<.001). Table 3 reports Average Treatment Effects with CIs (e.g., 0 vs 2 hr/day ATE=−0.090, 95% CI [−0.138, −0.041]).",,,MET,MET,MET,Original empirical analysis: observational longitudinal study using target trial emulation methodology to estimate causal effects of screen time on internalizing symptoms. Analysis conducted on ABCD sample from baseline to follow-up assessments.,Original empirical analysis using target trial emulation and G-formula causal inference methods to estimate potential effects of ST interventions on internalizing symptoms in ABCD and GenR cohorts.,,,MET,MET,MET,Peer-reviewed journal article published in Journal of Consulting and Clinical Psychology (2025).,"Peer-reviewed journal article (Journal of Consulting and Clinical Psychology, 2025).",,,MET,INCLUDE,,,All 6 criteria MET,E1,E14,
50,10.1007/s00787-024-02620-6,Online social activity time predicts ADHD problems in youth from late childhood to early adolescence in the ABCD study.,"Deng, Huiying",2025.0,European child & adolescent psychiatry,1,MET,MET,"Study uses U.S. ABCD Study data: 11,819 youth participants baseline ages 9-10 years (2016-2018), 1-year follow-up (2017-2019), 2-year follow-up (2018-2020), 3-year follow-up (2019-2021).","Paper explicitly uses U.S. ABCD data across 4 waves of longitudinal assessment from 11,819 youth at baseline (Mage=9.92 years) through 3-year follow-up.",,,MET,MET,MET,"Online social activity (OSA) time measured via ABCD Youth Screen Time Survey combining texting, visiting social networking sites, and video chatting across weekdays and weekends.","Online social activity (OSA) time measured via ABCD Youth Screen Time Survey, combining texting, visiting social networking sites, and video chatting.",,,MET,MET,MET,Random-intercepts cross-lagged panel models (RI-CLPMs) tested bidirectional associations between OSA time and ADHD problems using inferential tests across 4 waves; significant cross-lagged pathways reported.,"Random-intercepts cross-lagged panel model (RI-CLPM) reports bidirectional associations. Within-person: OSA time at T2/T3 predicts ADHD problems at T3/T4 (β=0.094, p=0.023 for females T2→T3; β=0.080, p=0.005 for T3→T4).",,,MET,MET,MET,"Multiple standardized β coefficients reported: OSA→ADHD β=0.285, p<0.001 (T1→T2); females T2→T3 β=0.094, p=0.023; females T3→T4 β=0.080, p=0.005; χ²(102)=2028.860, p<0.001.","Multiple numeric coefficients reported: β=0.094 [0.013, 0.175] (p=0.023); β=0.080 [0.024, 0.135] (p=0.005) for OSA→ADHD. Cross-lagged parameters with 95% CIs throughout.",,,MET,MET,MET,Original longitudinal analysis using RI-CLPM design examining within-person temporal associations across 4 annual assessments with moderation by sex and OSA content type.,"Longitudinal original empirical analysis using RI-CLPM on ABCD data, examining within-person temporal relationships across 4 time points.",,,MET,MET,MET,"Peer-reviewed journal article published in European Child & Adolescent Psychiatry, volume 34, online 26 December 2024.",Peer-reviewed journal article published in European Child & Adolescent Psychiatry (2025).,,,MET,INCLUDE,,,All 6 criteria MET,E9,,
115,10.1016/j.ijchp.2025.100589,"The longitudinal impact of screen media activities on brain function, architecture and mental health in early adolescence.","Dong, Na",2025.0,International journal of clinical and health psychology : IJCHP,1,MET,MET,"Uses ABCD study data: 4557 adolescents enrolled at baseline age 9-10 years (mean 9.955±0.164), with 2-year follow-up and 3-year follow-up assessments.","ABCD study, 4557 adolescents (2107 female; mean age 9.955±0.164 years) with longitudinal follow-up to 3-year timepoint using multimodal neuroimaging.",,,MET,MET,MET,"Screen media activity (SMA) measured via Screen Usage Questionnaire capturing television, videos, video games, testing on phone/tablet, video chatting, and social media time across weekdays and weekends.","Screen media activity (SMA) measured via updated Screen Usage Questionnaire at baseline, 2-year and 3-year follow-up, capturing TV, videos, video games, texting on phone/tablet, video chat, and social media.",,,MET,MET,MET,"Linear mixed models and cross-lagged panel models tested associations between baseline SMA and future mental health problems (internalizing, externalizing, stress); mediation analyses examined RSFC as mediator linking SMA to mental health outcomes.","Linear mixed model and cross-lagged panel models examining SMA associations with brain morphology and functional connectivity, and mental health outcomes. Multiple inferential tests reported (e.g., β=0.676 for CON-RTN; β=0.036 for multiple brain regions).",,,MET,MET,MET,"Multiple coefficients reported: SMA→internalizing β=0.030, p=0.016; externalizing β=0.026, p=0.055; stress β=0.068, p<0.001; pathway effects ranging p=0.002 to p<0.001 with 95% CIs provided.",Numeric results throughout: β=0.676 (p=0.0004) for CON-RTN; β=0.036 (p=0.0198) for CON-putamen; β=0.038 (p=0.0133) for SHN-cerebellum; all with 95% CIs reported.,,,MET,MET,MET,Original longitudinal analysis using linear mixed model and cross-lagged panel model examining SMA-mental health associations with mediation by brain function/structure across 2-3 year follow-up.,Original empirical longitudinal analysis with mixed models and cross-lagged panel design examining SMA's association with brain development and mental health outcomes across 2-year and 3-year follow-up.,,,MET,MET,MET,"Peer-reviewed journal article published in International Journal of Clinical and Health Psychology, volume 25, article 100589, online 14 June 2025.",Peer-reviewed journal article in International Journal of Clinical and Health Psychology (2025).,,,MET,INCLUDE,,,All 6 criteria MET,E3,,
85,10.1016/j.addbeh.2024.108211,"Mobile phone ownership, social media use, and substance use at ages 11-13 in the ABCD study.","Doran, Neal",2025.0,Addictive behaviors,1,MET,MET,"Secondary analysis of ABCD Study data: sample of 10,907 youth with substance use data at ages 11-12 (Year 2 annual assessment) and three follow-up assessments (Year 2 mid-year, Year 3 annual, Year 3 mid-year) through age 13-14.","Secondary analysis of ABCD Study data, 10,907 youth with substance use data at age 11-12 through 13-14 years.",,,MET,MET,MET,"Two screen exposures measured: mobile phone ownership (binary yes/no) and social media use (binary yes/no, at least one social media account), both assessed at age 11-12.",Mobile phone ownership (binary: yes/no) and social media use (binary: yes/no account) measured at age 11-12 baseline assessment.,,,MET,MET,MET,"Generalized estimating equations (GEE) logistic regression models tested associations between phone ownership/social media use and subsequent alcohol, nicotine/tobacco, and cannabis use across 4 timepoints with inferential tests.","Generalized estimating equations (GEE) longitudinal logistic regression models linking phone ownership and social media use to alcohol, nicotine/tobacco, and cannabis use outcomes across 4 assessments.",,,MET,MET,MET,"Multiple odds ratios and 95% confidence intervals reported: phone ownership→alcohol OR=1.34 [1.18, 1.51], p<0.001; phone ownership→nicotine/tobacco OR=1.71 [1.21, 2.40]; social media→alcohol OR=1.50 [1.31, 1.72]; social media→nicotine/tobacco OR=1.22 [1.06, 1.37]; social media→cannabis OR=4.91 [2.84, 8.47].","Odds ratios and 95% confidence intervals reported for all outcomes: Phone→alcohol OR=1.34 [1.18, 1.51]; Phone→tobacco OR=1.71 [1.21, 2.40]; Social media→alcohol OR=1.50 [1.31, 1.72]; Social media→cannabis OR=4.91 [2.84, 8.47].",,,MET,MET,MET,Secondary longitudinal analysis of ABCD cohort using GEE method examining prospective associations between digital device/social media use at baseline and substance use outcomes over 18-month follow-up.,Prospective longitudinal empirical analysis of ABCD data using GEE method to examine predictive associations across multiple time points over 18 months.,,,MET,MET,MET,"Peer-reviewed journal article published in Addictive Behaviors, volume 161, article 108211, online 6 November 2024.",Peer-reviewed journal article published in Addictive Behaviors (2025).,,,MET,INCLUDE,,,All 6 criteria MET,E13,E13,
168,10.1017/s0954579425100655,"Screen time, problematic media use, and clinical concerns in the ABCD Study: Differences by sex and race/ethnicity.","Eales, Lauren",2025.0,Development and psychopathology,1,MET,MET,"Paper explicitly analyzes data from the U.S. ABCD Study (Adolescent Brain Cognitive Development Study), with baseline and Year 2 data used from N=10,052 youth, age 9-10 years at baseline.","Paper explicitly uses U.S. ABCD Study data (4.0 data release). Sample includes 10,052 youth ages 9-17 from Year 2 ABCD Study time point with screen media variables measured.",,,MET,MET,MET,"Paper measures and analyzes multiple screen variables: screen media time per day (parent-report and youth-report), and problematic media use via Problematic Media Use Measure (parent-report 9 items).","Screen media time measured by parent and youth report (4.43 hours/day parent; 4.80 hours/day youth). Problematic media use measured by 9-item parent-reported Problematic Media Use scale (mean 2.33, SD 0.92).",,,MET,MET,MET,"Multiple screen↔non-screen tests reported: regression models predicting Child Behavior Checklist (CBCL) total and subscales (internalizing/externalizing), Brief Problem Monitor (BPM) total and subscales from screen media use and problematic media use; logistic regressions predicting suicidal ideation and non-suicidal self-injury.","Multiple screen↔non-screen associations reported. Screen media use and problematic media use both predict CBCL total, internalizing, and externalizing problems; BPM total, internalizing, externalizing; and suicidal ideation/self-injury (SI/NSSI) outcomes. Example: problematic media use β=7.73 (p<.001) for CBCL total; β=1.74 (p<.001) for internalizing.",,,MET,MET,MET,"Numeric coefficients reported throughout: standardized β values (e.g., problematic media use β=7.73 for CBCL total, β=1.74 for internalizing, β=2.50 for externalizing); OR values (e.g., problematic media use OR=1.69 for suicidal ideation, OR=1.65 for NSSI); p-values all reported.","Extensive numeric results throughout. Table 2 reports standardized β coefficients for screen media use and problematic media use predicting clinical concerns (e.g., screen media β=-0.09 for CBCL total, problematic media β=7.73, p<.001). Table 3 reports ORs with 95% CIs for SI and NSSI outcomes (e.g., problematic media OR=1.69, 95% CI 1.59-1.81).",,,MET,MET,MET,"Cross-sectional empirical analysis of ABCD data examining associations between screen/problematic media use and clinical concerns (internalizing/externalizing problems, suicidal ideation, NSSI) stratified by sex and race/ethnicity.","Original empirical analysis. Multilevel regression models predicting clinical concerns (CBCL, BPM, SI, NSSI) separately for each race/ethnicity group with family and site random effects and standardized covariates.",,,MET,MET,MET,"Peer-reviewed journal article published in Development and Psychopathology (2025), clearly a full-text peer-reviewed paper.",Peer-reviewed journal article published in Development and Psychopathology (2025).,,,MET,INCLUDE,,,All 6 criteria MET,E14,"E1,E14",
10,10.1001/jamanetworkopen.2025.28532,Psychopathology and Gaming Disorder in Adolescents.,"Falcione, Kylie",2025.0,JAMA network open,1,MET,MET,"Paper explicitly uses U.S. ABCD Study data (Adolescent Behavioral Cognitive Development Study, release 5.1, downloaded July 2023), analyzing 4289 adolescents with follow-ups at ages 11-12, 12-13, and 13-14 years.","Paper uses Adolescent Brain Cognitive Development (ABCD) Study data, release 5.1. Analyzed 4289 U.S. adolescents with gaming and psychopathology assessments at 2-year, 3-year, and 4-year follow-ups (ages 11-12 to 13-14 years; 2018-2022 study window).",,,MET,MET,MET,"Paper measures gaming disorder (Video Game Addiction Questionnaire aligned with ICD-11 and DSM-5 criteria for internet gaming disorder), which constitutes a problematic/addictive screen-use scale covering gaming behaviors and screen-based patterns.","Gaming disorder measured using Video Game Addiction Questionnaire (VGAQ), which aligns with DSM-5 criteria for internet gaming disorder. Assessed 6 dimensions: preoccupation, tolerance, escape, loss of control, withdrawal, risk opportunism (score range 6-36).",,,MET,MET,MET,"Multiple screen↔non-screen tests reported: longitudinal associations between psychopathology (latent factor from depression, anxiety, conduct disorder, social problems, ADHD) and gaming disorder measured at 3 time points; CLPM cross-lagged path models and HMEMs; separate CLPMs for individual psychopathology indicators.","Directional longitudinal associations between psychopathology (latent factor: depression, anxiety, conduct, social problems, ADHD) and gaming disorder reported via cross-lagged panel models (CLPM). Multiple bidirectional pathways tested across 3 time points. Example: baseline psychopathology β=0.03 (95% CI 0.002-0.06, p=.003) predicting 1-year gaming disorder; psychopathology β=0.07 (95% CI 0.04-0.10, p<.001) at 3-year follow-up predicting gaming disorder.",,,MET,MET,MET,"Numeric coefficients reported: standardized β values for psychopathology→GD (e.g., β=0.03 at 2-year to β=0.07 at 3-year follow-up, β=0.04 at 4-year); p-values (P<.001, P<.05, P=.71, P=.09); 95% CIs for individual psychopathology associations.",Numeric β coefficients reported throughout Figure 2 and text. CLPM results show: 2-year baseline psychopathology→gaming disorder β=0.03 (p=.003); 3-year psychopathology→gaming disorder β=0.07 (p<.001); 4-year psychopathology→gaming disorder β=0.04 (p=.04). Direct and indirect paths include CIs and p-values.,,,MET,MET,MET,"Original empirical longitudinal analysis using ABCD data across 3 time points (ages 11-12, 12-13, 13-14 years), with CLPM and HMEM designs examining temporal and bidirectional associations.","Original empirical longitudinal analysis. Cross-lagged panel models (CLPM) examining temporal bidirectional associations between latent psychopathology factor and gaming disorder across three time points (2, 3, 4-year follow-ups), controlling for sex and personal core characteristics.",,,MET,MET,MET,"Peer-reviewed journal article published in JAMA Network Open (July 29, 2025), clearly a full-text peer-reviewed publication.",Peer-reviewed journal article published in JAMA Network Open (2025; doi:10.1001/jamanetworkopen.2025.28532).,,,MET,INCLUDE,,,All 6 criteria MET,E1,,
11,10.1001/jamanetworkopen.2025.31333,Modifiable Parental Factors and Adolescent Sleep During Early Adolescence.,"Ge, Rosalind",2025.0,JAMA network open,1,MET,MET,"Paper analyzes data from U.S. ABCD Study (release 5.1, June 2016 to October 15, 2018), with 3419 participants across 3 waves (ages 9-11, 12-13, 13-14 years).","Data from ABCD Study, release 5.1, collected June 1, 2016 to October 15, 2018. Study followed 3419 youth across waves 1-3 (ages 9-11, 12-13, 13-14 years).",,,MET,MET,MET,"Paper measures screen use via Youth Screen Time Survey (total daily screen time calculated as weighted mean across weekdays/weekends), explicitly included as mediator variable in models examining parental factors and adolescent sleep.","Screen use measured by youth-reported Youth Screen Time Survey at wave 2 (baseline screens). Total daily screen use calculated as weighted mean across weekdays and weekends in hours per day (mean 2.60, SD 2.17).",,,MET,MET,MET,"Inferential statistical tests linking screen use to non-screen sleep outcomes reported throughout: linear mixed models with screen use predicting sleep duration, timing, chronotype, quality, and regularity; mediation analyses showing indirect associations of parental factors through screen use to sleep outcomes.","Screen use↔non-screen (sleep) associations reported across multiple sleep outcomes. Direct associations: higher parental monitoring associated with better sleep quality (β=0.04, p=.04); this association mediated through decreased screen use (indirect β=-0.004, 95% CI -0.008 to -0.002, proportion mediated 73%). Screen use partially mediates parental psychopathology→sleep quality association (indirect β=-0.05, 95% CI -0.06 to -0.04).",,,MET,MET,MET,"Numeric coefficients reported: standardized β values (e.g., parental monitoring→sleep quality via screen use β=0.004, 95% CI 0.002-0.008; family conflict→sleep quality via screen use β=-0.003, 95% CI -0.006 to -0.001); 95% CIs consistently reported.",Numeric results reported in Figure 1 forest plot and Figure 2 mediation models. Direct effects of parental factors on sleep: β=0.04 (95% CI 0.01-0.08) for monitoring→sleep quality; β=0.06 (95% CI 0.02-0.11) for psychopathology→sleep timing. Screen use indirect paths: β=-0.004 (95% CI -0.002 to -0.008); β=-0.05 (95% CI -0.06 to -0.04).,,,MET,MET,MET,"Preregistered prospective longitudinal cohort study (registered on Open Science Framework) examining associations between parental factors and sleep outcomes 4 years later, with screen use and emotional regulation as mediators.","Original empirical longitudinal analysis. Linear mixed models examining associations between wave-1 parental factors and wave-3 sleep outcomes (duration, timing, chronotype, quality, regularity) with wave-2 mediators (screen use, emotional regulation). Mediation paths tested via path analysis with 1000 simulations.",,,MET,MET,MET,"Peer-reviewed journal article published in JAMA Network Open (September 11, 2025), clearly a full-text peer-reviewed publication.",Peer-reviewed journal article published in JAMA Network Open (2025; doi:10.1001/jamanetworkopen.2025.31333).,,,MET,INCLUDE,,,All 6 criteria MET,E15,E15,
121,10.1016/j.jaacop.2025.06.007,Prospective Predictors of Adolescent Screen Time and Problematic Screen Use.,"Grund, Beatrice A",2025.0,JAACAP open,1,MET,MET,"Study uses U.S. ABCD Study data (Release 5.1), baseline and year 4 waves, N=4,744 youths aged 9-10 at baseline and 12-15 at year 4. Methods section explicitly states 'Secondary analyses were conducted on data from the Adolescent Brain Cognitive Development (ABCD) Study.'","Secondary analyses conducted on ABCD Study data; 4,744 participants at year 4 (Release 5.1). Explicit use of U.S. ABCD baseline and year 4 follow-up data.",,,MET,MET,MET,"Measures multiple screen variables: average daily video game screen time (hours), social media screen time (hours), smartphone/smartwatch ownership, VGAQ (Video Game Addiction Questionnaire), SMAQ (Social Media Addiction Questionnaire), MPIQ (Mobile Phone Involvement Questionnaire).","Screen time measured via ABCD Screen Time Questionnaire (STQ) at baseline and year 4 for video games and social media. Problematic screen use (PSU) measured via VGAQ, SMAQ, MPIQ for video games, social media, and smartphones respectively.",,,MET,MET,MET,"Reports linear mixed effects models testing baseline individual differences (impulsivity, motivation, psychopathology, cognition) as predictors of later screen time. Table 3 shows screen variables (video game hours, social media hours) linked to non-screen outcomes with β, SE, p-values reported.","Linear mixed-effects models tested baseline individual differences (impulsivity, motivation, psychopathology, cognition) as predictors of later screen time and PSU. Table 3 reports multiple screen↔non-screen tests: urgency predicts video game ST (β=+.07, p<.001), reward sensitivity predicts video game ST (β=+.04, p<.001), general cognitive ability predicts video game ST (β=−.10, p<.001).",,,MET,MET,MET,"Table 3 reports multiple numeric results including β coefficients, standard errors, and p-values. Example: urgency predicting video game hours β=+.07, SE=.01, p<.001; general cognitive ability predicting video game hours β=−.10, SE=.08, p<.001.","Multiple β coefficients, standard errors, and p-values reported in Table 3 main effects. Examples: urgency→video game ST (β=+.07, SE=.01, p<.001); reward sensitivity→video game ST (β=+.04, SE=.01, p<.001); general cognitive ability→video game ST (β=−.10, SE=.08, p<.001).",,,MET,MET,MET,Original empirical analysis: prospective longitudinal design using linear mixed effects models examining baseline predictors of year 4 screen time outcomes with family-level random effects and site-level adjustments.,Longitudinal prospective analysis of ABCD data examining baseline individual differences predicting later screen use at year 4. Original empirical analysis.,,,MET,MET,MET,"Peer-reviewed journal article published in JAACAP Open, Vol 3, Number 4, December 2025, pages 1259-1269.","Peer-reviewed journal article (JAACAP Open, 2025; Vol 3, No 4).",,,MET,INCLUDE,,,All 6 criteria MET,E1,,
90,10.1016/j.biopsych.2025.02.102,The Association Between Social Media Consumption and White Matter Health in the Adolescent Brain Cognitive Development (ABCD) Dataset,Johanna SeitzâHolland,2025.0,Biological Psychiatry,1,MET,MET,"Paper explicitly analyzes ABCD dataset. Methods state: 'The study included 9,337 individuals with baseline social media use and diffusion-weighted magnetic resonance imaging (MRI) data' from the ABCD Study.","Explicitly states 'using data from the ABCD dataset' with '0,337 individuals with baseline social media use and diffusion-weighted magnetic imaging (MRI) data.' ABCD Study participation confirmed.",,,MET,MET,MET,"Measures social media consumption: participants grouped by daily social media consumption (<30 minutes/day: 8,868; >30 minutes/day: 455). Text references 'baseline social media use' and 'daily social media consumption.'",Social media consumption measured via daily social media consumption categories (0 hrs; 1-2 hrs/day; 2-3 hrs/day; 3-5 hrs/day; >5 hrs/day). Categorical screen exposure variable.,,,MET,MET,MET,Reports linear regressions examining effects of social media consumption on white matter fractional anisotropy (FA) of 34 white matter tracts. Odds ratios assess influence of demographic/physical/neighborhood characteristics on social media use. Results section states associations were found but 'no longer significant after adjusting for race and socioeconomic status.',"Linear regressions examined effects of social media consumption on FA (fractional anisotropy) of 34 white matter tracts, a non-screen neuroimaging outcome. Results indicate associations between social media consumption and white matter structure at various age points.",,,MET,MET,MET,"Reports p-values and odds ratios for demographic predictors of social media use: e.g., 'female sex, black race, puberty, lower household income, and insufficient sleep were significantly associated with higher social media consumption (p < 0.05, Odds Ratio > 1.5).' Neighborhood variables 'significantly associated with social media use' with same threshold criteria.","Odds ratios and p-values reported. Text states 'the results indicated...Odds Ratio > 1.3, p < 0.05' for demographic associations; white matter associations reported with numeric p-values (p < 0.05, p < 0.001).",,,MET,MET,MET,Original empirical analysis: cross-sectional design with linear regressions examining social media effects on white matter FA and logistic regressions examining demographic/health predictors of social media use.,Original empirical analysis of ABCD data using linear regressions to test social media consumption predicting white matter outcomes.,,,MET,MET,MET,"Peer-reviewed journal article published in Biological Psychiatry, Vol 97, Supplement 1, May 1, 2025, pages S1-S73.","Published in Biological Psychiatry, May 2025 conference abstract supplement (pp. S7–S73). Assume MET unless clearly a preprint/duplicate of full paper.",,,MET,INCLUDE,,,All 6 criteria MET,E14,,
