candidate_id,row_id,doi,title,authors,journal,year,matched_keywords,match_location,inclusion_rationale,final_decision,coder,date_coded,notes
26,339,10.1016/j.jadohealth.2024.06.020,Longitudinal Use Patterns of Technology Subtypes During the Transition Into Early Adolescence: Results From the Adolescent Brain Cognitive Development Study.,Borodovsky JT; Squeglia LM; Mewton L; Marsch LA,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2024,"social media, video game, texting",abstract,"abstract match: social media, video game, texting",INCLUDE,AI,2026-03-24,
27,351,10.1038/s41598-024-68467-8,Passively sensing smartphone use in teens with rates of use by sex and across operating systems.,Alexander JD; Linkersdörfer J; Toda-Thorne K; Sullivan RM; Cummins KM; Tomko RL; Allen NB; Bagot KS; Baker FC; Fuemmeler BF; Hoffman EA; Kiss O; Mason MJ; Nguyen-Louie TT; Tapert SF; Smith CJ; Squeglia LM; Wade NE,Scientific reports,2024,"social media, smartphone, texting",both,"both match: social media, smartphone, texting",INCLUDE,AI,2026-03-24,
28,364,10.1111/apa.17349,Family conflict and less parental monitoring were associated with greater screen time in early adolescence.,Al-Shoaibi AAA; Zamora G; Chu J; Patel KP; Ganson KT; Testa A; Jackson DB; Tapert SF; Baker FC; Nagata JM,"Acta paediatrica (Oslo, Norway : 1992)",2024,"screen time, video game, television",both,"both match: screen time, video game, television",INCLUDE,AI,2026-03-24,
29,378,10.1016/j.jadohealth.2024.06.006,Bedtime Screen Use Behaviors and Sleep Outcomes in Early Adolescents: A Prospective Cohort Study.,Nagata JM; Cheng CM; Shim J; Kiss O; Ganson KT; Testa A; He J; Baker FC,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2024,"social media, texting, screen use, television",both,"both match: social media, texting, screen use, television",INCLUDE,AI,2026-03-24,
30,400,10.1016/j.comppsych.2024.152509,Pixels and perception: Mapping the association between digital media and psychotic-like experiences in adolescents.,Hein K; Zarate D; Burleigh T; Stavropoulos V,Comprehensive psychiatry,2024,"social media, video game, texting, digital media",both,"both match: social media, video game, texting, digital media",INCLUDE,AI,2026-03-24,
31,408,10.1038/s41598-024-63566-y,Long-term impact of digital media on brain development in children.,Nivins S; Sauce B; Liebherr M; Judd N; Klingberg T,Scientific reports,2024,"screen time, social media, video game, digital media, television, media use",both,"both match: screen time, social media, video game, digital media, television, media use",INCLUDE,AI,2026-03-24,
32,409,10.1038/s41390-024-03243-y,Associations between media parenting practices and early adolescent screen use.,Nagata JM; Paul A; Yen F; Smith-Russack Z; Shao IY; Al-Shoaibi AAA; Ganson KT; Testa A; Kiss O; He J; Baker FC,Pediatric research,2024,"screen time, social media, mobile phone, video game, problematic screen, screen use, media use",both,"both match: screen time, social media, mobile phone, video game, problematic screen, screen use, media use",INCLUDE,AI,2026-03-24,
33,434,10.1186/s12889-024-18790-6,Association of physical activity and screen time with cardiovascular disease risk in the Adolescent Brain Cognitive Development Study.,Nagata JM; Weinstein S; Alsamman S; Lee CM; Dooley EE; Ganson KT; Testa A; Gooding HC; Kiss O; Baker FC; Pettee Gabriel K,BMC public health,2024,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
34,447,10.1016/j.annepidem.2024.04.013,Screen use in transgender and gender-questioning adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,Nagata JM; Balasubramanian P; Iyra P; Ganson KT; Testa A; He J; Glidden DV; Baker FC,Annals of epidemiology,2024,"screen time, social media, mobile phone, video game, texting, problematic screen, screen use, television",both,"both match: screen time, social media, mobile phone, video game, texting, problematic screen, screen use, television",INCLUDE,AI,2026-03-24,
35,451,10.1007/s00127-024-02669-3,"Childhood internalizing, externalizing and attention symptoms predict changes in social and nonsocial screen time.",Keyes K; Hamilton A; Finsaas M; Kreski N,Social psychiatry and psychiatric epidemiology,2024,"screen time, social media, digital media, media use",both,"both match: screen time, social media, digital media, media use",INCLUDE,AI,2026-03-24,
36,452,10.1016/j.dcn.2024.101388,NowIKnowMyABCD: A global resource hub for researchers using data from the ABCD Study.,Ali SA; McCann CF; Thieu MK; Whitmore LB; Laird AR,Developmental cognitive neuroscience,2024,social media,abstract,abstract match: social media,INCLUDE,AI,2026-03-24,
37,455,10.1556/2006.2024.00016,"Screen time, sleep, brain structural neurobiology, and sequential associations with child and adolescent psychopathology: Insights from the ABCD study.",Zhao Y; Paulus MP; Tapert SF; Bagot KS; Constable RT; Yaggi HK; Redeker NS; Potenza MN,Journal of behavioral addictions,2024,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
38,457,10.1038/s44277-024-00006-9,Probing the digital exposome: associations of social media use patterns with youth mental health.,Pagliaccio D; Tran KT; Visoki E; DiDomenico GE; Auerbach RP; Barzilay R,NPP - digital psychiatry and neuroscience,2024,"social media, media use",both,"both match: social media, media use",INCLUDE,AI,2026-03-24,
39,477,10.1186/s12966-024-01587-6,"Longitudinal associations of screen time, physical activity, and sleep duration with body mass index in U.S. youth.",Zink J; Booker R; Wolff-Hughes DL; Allen NB; Carnethon MR; Alexandria SJ; Berrigan D,The international journal of behavioral nutrition and physical activity,2024,"screen time, gaming",both,"both match: screen time, gaming",INCLUDE,AI,2026-03-24,
40,526,10.1002/eat.24169,Prospective association of screen time with binge-eating disorder among adolescents in the United States: The mediating role of depression.,Al-Shoaibi AAA; Shao IY; Ganson KT; Lavender JM; Testa A; Kiss O; He J; Glidden DV; Baker FC; Nagata JM,The International journal of eating disorders,2024,"screen time, screen use",both,"both match: screen time, screen use",INCLUDE,AI,2026-03-24,
41,532,10.1080/10826084.2024.2310501,Social Media Use and Alcohol Sipping in Early Adolescents: A Prospective Cohort Study.,Nagata JM; Sajjad OM; Smith N; Zamora G; Dhama S; Al-Shoaibi AAA; Ganson KT; Testa A; Moreno MA; Kiss O; Baker FC; Jackson DB,Substance use & misuse,2024,"social media, media use",both,"both match: social media, media use",INCLUDE,AI,2026-03-24,
42,545,10.1016/j.acap.2024.01.023,Associations of contemporary screen time modalities with early adolescent nutrition.,Nagata JM; Weinstein S; Bashir A; Lee S; Al-Shoaibi AAA; Shao IY; Ganson KT; Testa A; He J; Garber AK,Academic pediatrics,2024,"screen time, social media, video game, texting, television",both,"both match: screen time, social media, video game, texting, television",INCLUDE,AI,2026-03-24,
43,569,10.1002/advs.202307540,"Causal Relationships Between Screen Use, Reading, and Brain Development in Early Adolescents.",Li M; Zhao R; Dang X; Xu X; Chen R; Chen Y; Zhang Y; Zhao Z; Wu D,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024,"screen use, media use",both,"both match: screen use, media use",INCLUDE,AI,2026-03-24,
44,596,10.1037/hea0001351,Leveraging the adolescent brain cognitive development study to advance and promote adolescent health: Introduction to the special issue.,Sanchez M; Feldstein Ewing SW; Luciana M,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",2023,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
45,616,10.1001/jamanetworkopen.2023.41502,Shared Genetic Risk in the Association of Screen Time With Psychiatric Problems in Children.,Zhang Y; Choi KW; Delaney SW; Ge T; Pingault JB; Tiemeier H,JAMA network open,2023,"screen time, television",both,"both match: screen time, television",INCLUDE,AI,2026-03-24,
46,630,10.1016/j.jadohealth.2023.09.001,"Examining the Bidirectional Associations Between Sleep Duration, Screen Time, and Internalizing Symptoms in the ABCD Study",Zink J; O'Connor SG; Blachman-Demner DR; Wolff-Hughes DL; Berrigan D,J Adolesc Health,2023,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
47,637,10.3390/brainsci13101452,"Screen Media Use Affects Subcortical Structures, Resting-State Functional Connectivity, and Mental Health Problems in Early Adolescence.",He X; Hu J; Yin M; Zhang W; Qiu B,Brain sciences,2023,"social media, video game, media use",both,"both match: social media, video game, media use",INCLUDE,AI,2026-03-24,
48,641,10.1016/j.jadohealth.2023.08.033,"Risk Assessment of Maladaptive Behaviors in Adolescents: Nutrition, Screen Time, Prenatal Exposure, Childhood Adversities - Adolescent Brain Cognitive Development Study.",Agarwal K; Manza P; Tejeda HA; Courville AB; Volkow ND; Joseph PV,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2023,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
49,658,10.1016/j.pmedr.2023.102428,Identification and characterization of screen use trajectories from late childhood to adolescence in a US-population based cohort study.,Shao IY; Yang J; Ganson KT; Baker FC; Nagata JM,Preventive medicine reports,2023,screen use,both,both match: screen use,INCLUDE,AI,2026-03-24,
50,670,10.1037/hea0001248,Longitudinal relationships between lifestyle risk factors and neurodevelopment in early adolescence.,Mewton L; Davies S; Sunderland M; Champion K; Hoy N; Newton N; Teesson M; Squeglia LM,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",2023,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
51,700,10.3389/fped.2023.1198033,Passive and social screen time in children with autism and in association with obesity.,Must A; Eliasziw M; Stanish H; Curtin C; Bandini LG; Bowling A,Frontiers in pediatrics,2023,"screen time, social media, video game, texting, screen use, television, media use",both,"both match: screen time, social media, video game, texting, screen use, television, media use",INCLUDE,AI,2026-03-24,
52,715,10.1038/s41398-023-02502-6,Generalizable prediction of childhood ADHD symptoms from neurocognitive testing and youth characteristics.,Weigard A; McCurry KL; Shapiro Z; Martz ME; Angstadt M; Heitzeg MM; Dinov ID; Sripada C,Translational psychiatry,2023,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
53,718,10.1186/s12889-023-16111-x,Associations between adverse childhood experiences and early adolescent problematic screen use in the United States.,Raney JH; Al-Shoaibi AA; Ganson KT; Testa A; Jackson DB; Singh G; Sajjad OM; Nagata JM,BMC public health,2023,"social media, mobile phone, video game, problematic screen, screen use, media use",both,"both match: social media, mobile phone, video game, problematic screen, screen use, media use",INCLUDE,AI,2026-03-24,
54,776,10.1016/j.sleh.2023.02.005,Bedtime screen use behaviors and sleep outcomes: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,Nagata JM; Singh G; Yang JH; Smith N; Kiss O; Ganson KT; Testa A; Jackson DB; Baker FC,Sleep health,2023,"screen time, social media, video game, texting, screen use, television",both,"both match: screen time, social media, video game, texting, screen use, television",INCLUDE,AI,2026-03-24,
55,796,10.1037/hea0001251,Effects of the COVID-19 pandemic on screen time and sleep in early adolescents.,Kiss O; Nagata JM; de Zambotti M; Dick AS; Marshall AT; Sowell ER; Van Rinsveld A; Guillaume M; Pelham WE; Gonzalez MR; Brown SA; Dowling GJ; Lisdahl KM; Tapert SF; Baker FC,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",2023,"screen time, social media, gaming, screen use, media use",both,"both match: screen time, social media, gaming, screen use, media use",INCLUDE,AI,2026-03-24,
56,799,10.1016/j.annepidem.2023.03.004,Associations between sexual orientation and early adolescent screen use: findings from the Adolescent Brain Cognitive Development (ABCD) Study.,Nagata JM; Lee CM; Yang J; Al-Shoaibi AAA; Ganson KT; Testa A; Jackson DB,Annals of epidemiology,2023,"screen time, social media, mobile phone, video game, texting, problematic screen, screen use, television",both,"both match: screen time, social media, mobile phone, video game, texting, problematic screen, screen use, television",INCLUDE,AI,2026-03-24,
57,803,10.1016/j.jaac.2023.02.014,Youth Screen Media Activity Patterns and Associations With Behavioral Developmental Measures and Resting-state Brain Functional Connectivity.,Song K; Zhang JL; Zhou N; Fu Y; Zou B; Xu LX; Wang Z; Li X; Zhao Y; Potenza M; Fang X; Zhang JT,Journal of the American Academy of Child and Adolescent Psychiatry,2023,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
58,826,10.1186/s12889-023-15298-3,Problematic social media use and alcohol expectancies in early adolescents.,Nagata JM; Smith N; Zamora G; Sajjad OM; Ganson KT; Testa A; Jackson DB,BMC public health,2023,"social media, media use",both,"both match: social media, media use",INCLUDE,AI,2026-03-24,
59,839,10.1016/j.ypmed.2023.107452,Screen time and suicidal behaviors among U.S. children 9-11 years old: A prospective cohort study.,Chu J; Ganson KT; Baker FC; Testa A; Jackson DB; Murray SB; Nagata JM,Preventive medicine,2023,"screen time, video game, texting",both,"both match: screen time, video game, texting",INCLUDE,AI,2026-03-24,
60,844,10.1016/j.dcn.2023.101218,Negative impact of daily screen use on inhibitory control network in preadolescence: A two-year follow-up study.,Chen YY; Yim H; Lee TH,Developmental cognitive neuroscience,2023,"screen time, screen use",both,"both match: screen time, screen use",INCLUDE,AI,2026-03-24,
61,857,10.1001/jamanetworkopen.2022.55466,Association of Physical Activity and Screen Time With Body Mass Index Among US Adolescents.,Nagata JM; Smith N; Alsamman S; Lee CM; Dooley EE; Kiss O; Ganson KT; Wing D; Baker FC; Gabriel KP,JAMA network open,2023,"screen time, screen use",both,"both match: screen time, screen use",INCLUDE,AI,2026-03-24,
62,879,10.1016/j.acap.2022.12.007,Cyberbullying and Sleep Disturbance Among Early Adolescents in the U.S.,Nagata JM; Yang JH; Singh G; Kiss O; Ganson KT; Testa A; Jackson DB; Baker FC,Academic pediatrics,2022,"screen time, digital media",abstract,"abstract match: screen time, digital media",INCLUDE,AI,2026-03-24,
63,889,10.1016/j.jadohealth.2022.10.019,Adherence to 24-Hour Movement Recommendations and Health Indicators in Early Adolescence: Cross-Sectional and Longitudinal Associations in the Adolescent Brain Cognitive Development Study.,Fung H; Yeo BTT; Chen C; Lo JC; Chee MWL; Ong JL,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2022,screen time,abstract,abstract match: screen time,INCLUDE,AI,2026-03-24,
64,892,10.1016/j.jadohealth.2022.10.023,Screen Time and Obsessive-Compulsive Disorder Among Children 9-10 Years Old: A Prospective Cohort Study.,Nagata JM; Chu J; Zamora G; Ganson KT; Testa A; Jackson DB; Costello CR; Murray SB; Baker FC,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2022,"screen time, video game",both,"both match: screen time, video game",INCLUDE,AI,2026-03-24,
65,903,10.1002/jad.12124,Adverse childhood experiences and early adolescent cyberbullying in the United States.,Nagata JM; Trompeter N; Singh G; Raney J; Ganson KT; Testa A; Jackson DB; Murray SB; Baker FC,Journal of adolescence,2022,social media,abstract,abstract match: social media,INCLUDE,AI,2026-03-24,
66,944,10.1001/jamanetworkopen.2022.35721,Association of Video Gaming With Cognitive Performance Among Children.,Chaarani B; Ortigara J; Yuan D; Loso H; Potter A; Garavan HP,JAMA network open,2022,"screen time, video game, gaming",both,"both match: screen time, video game, gaming",INCLUDE,AI,2026-03-24,
67,961,10.1007/s11294-022-09854-7,Estimating Parental Demand for Children’s Screen Time in a Model of Family Labor Supply,Oh SE & Vukina T,International Advances in Economic Research,2022,screen time,title,title match: screen time,INCLUDE,AI,2026-03-24,
68,968,10.1016/j.dcn.2022.101150,Youth screen use in the ABCD® study.,Bagot KS; Tomko RL; Marshall AT; Hermann J; Cummins K; Ksinan A; Kakalis M; Breslin F; Lisdahl KM; Mason M; Redhead JN; Squeglia LM; Thompson WK; Wade T; Tapert SF; Fuemmeler BF; Baker FC,Developmental cognitive neuroscience,2022,"social media, video game, gaming, screen use, media use",both,"both match: social media, video game, gaming, screen use, media use",INCLUDE,AI,2026-03-24,
69,990,10.1111/jcpp.13673,Contemporary screen time modalities and disruptive behavior disorders in children: a prospective cohort study.,Nagata JM; Chu J; Ganson KT; Murray SB; Iyer P; Gabriel KP; Garber AK; Bibbins-Domingo K; Baker FC,"Journal of child psychology and psychiatry, and allied disciplines",2022,"screen time, social media, video game, texting, television",both,"both match: screen time, social media, video game, texting, television",INCLUDE,AI,2026-03-24,
70,996,10.1016/j.acap.2022.07.007,"Associations Between Adverse Childhood Experiences, Adolescent Screen Time and Physical Activity During the COVID-19 Pandemic.",Raney JH; Testa A; Jackson DB; Ganson KT; Nagata JM,Academic pediatrics,2022,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
71,997,10.1016/j.acap.2022.07.003,Social Epidemiology of Early Adolescent Cyberbullying in the United States.,Nagata JM; Trompeter N; Singh G; Ganson KT; Testa A; Jackson DB; Assari S; Murray SB; Bibbins-Domingo K; Baker FC,Academic pediatrics,2022,"screen time, social media",abstract,"abstract match: screen time, social media",INCLUDE,AI,2026-03-24,
72,1001,10.1016/j.pmedr.2022.101900,COVID information and masking behaviors in U.S. adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,Nagata JM; Ganson KT; Liu J; Patel KP; Tai JC; Murray SB; Bibbins-Domingo K,Preventive medicine reports,2022,"social media, television",abstract,"abstract match: social media, television",INCLUDE,AI,2026-03-24,
73,1006,10.1038/s41390-022-02176-8,Social epidemiology of early adolescent problematic screen use in the United States.,Nagata JM; Singh G; Sajjad OM; Ganson KT; Testa A; Jackson DB; Assari S; Murray SB; Bibbins-Domingo K; Baker FC,Pediatric research,2022,"screen time, social media, mobile phone, video game, problematic screen, screen use, media use",both,"both match: screen time, social media, mobile phone, video game, problematic screen, screen use, media use",INCLUDE,AI,2026-03-24,
74,1027,10.1016/j.jad.2022.05.071,Associations between screen time and internalizing disorder diagnoses among 9- to 10-year-olds.,Roberston L; Twenge JM; Joiner TE; Cummins K,Journal of affective disorders,2022,"screen time, social media, video game, gaming, texting, digital media, media use",both,"both match: screen time, social media, video game, gaming, texting, digital media, media use",INCLUDE,AI,2026-03-24,
75,1032,10.1038/s41598-022-11341-2,The impact of digital media on children's intelligence while controlling for genetic differences in cognition and socioeconomic background.,Sauce B; Liebherr M; Judd N; Klingberg T,Scientific reports,2022,"screen time, gaming, digital media",both,"both match: screen time, gaming, digital media",INCLUDE,AI,2026-03-24,
76,1039,10.1016/j.ebiom.2022.104039,Longer screen time utilization is associated with the polygenic risk for Attention-deficit/hyperactivity disorder with mediation by brain white matter microstructure.,Yang A; Rolls ET; Dong G; Du J; Li Y; Feng J; Cheng W; Zhao XM,EBioMedicine,2022,screen time,both,both match: screen time,INCLUDE,AI,2026-03-24,
77,1051,10.1016/j.jaac.2022.03.025,"Understanding Associations Between Race/Ethnicity, Experiences of Discrimination, and Psychotic-like Experiences in Middle Childhood.",Karcher NR; Klaunig MJ; Elsayed NM; Taylor RL; Jay SY; Schiffman J,Journal of the American Academy of Child and Adolescent Psychiatry,2022,social media,abstract,abstract match: social media,INCLUDE,AI,2026-03-24,
78,1104,10.1111/apa.16253,Parental psychological problems were associated with higher screen time and the use of mature-rated media in children.,Pulkki-Råback L; Barnes JD; Elovainio M; Hakulinen C; Sourander A; Tremblay MS; Guerrero MD,"Acta paediatrica (Oslo, Norway : 1992)",2022,"screen time, social media, video game, gaming",both,"both match: screen time, social media, video game, gaming",INCLUDE,AI,2026-03-24,
