candidate_id,doi,title,publisher,access_method,download_status,retry_count,file_path,file_size_kb,page_count,coder,date_coded,notes
11,10.1007/s00127-025-02814-6,Screen time and manic symptoms in early adolescents: prospective findings from the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39976710, PMCID: PMC12162243 - PMC download failed"
12,10.1186/s12887-024-05367-w,Associations between media parenting practices and early adolescent consumption of R-rated movies and mature-rated video games.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39905395, PMCID: PMC11792743 - PMC download failed"
13,10.1016/j.acap.2025.102784,Prevalence and Patterns of Social Media Use in Early Adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39800219, PMCID: PMC12048217 - PMC download failed"
14,10.1037/ccp0000912,Evaluating hypothetical prevention strategies for internalizing symptoms in the general population and at-risk children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39760735, PMCID: N/A - No PMC available"
15,10.1111/ejn.16662,Responsible Use of Population Neuroscience Data in the ABCD: Towards Standards of Accountability and Integrity.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39865519, PMCID: N/A - No PMC available"
16, https://doi.org/10.1177/00111287241305057,Traumatic Stress Exposure as a Predictor of Dual Systems Model Development: Examining Deviant Peer Association as a Social Mediating Mechanism,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: None, PMCID: N/A - No PMC available"
17,10.1556/2006.2024.00068,The longitudinal association between reward processing and symptoms of video game addiction in the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39656219, PMCID: PMC11737415 - PMC download failed"
18,10.1002/oby.24199,Concurrent and prospective associations of social media usage with binge eating symptoms in early adolescence.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39587853, PMCID: N/A - No PMC available"
19,10.1016/j.drugalcdep.2024.112504,Prospective association between screen use modalities and substance use experimentation in early adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39612721, PMCID: PMC11784702 - PMC download failed"
20,10.1016/j.addbeh.2024.108211,"Mobile phone ownership, social media use, and substance use at ages 11-13 in the ABCD study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39520899, PMCID: PMC12147921 - PMC download failed"
21,10.1080/08927936.2024.2406097,Pet Ownership and Family Involvement in Sports and Other Activities.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39748875, PMCID: PMC11694764 - PMC download failed"
22,10.1016/j.dcn.2024.101466,Responsible use of population neuroscience data: Towards standards of accountability and integrity.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39488499, PMCID: PMC11959870 - PMC download failed"
23,10.1093/sleep/zsae234,"Prospective associations between Sleep, Sensation-Seeking and Mature Screen Usage in Early Adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39390801, PMCID: PMC12477119 - PMC download failed"
24,10.1186/s12889-024-20102-x,Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39370520, PMCID: PMC11457456 - PMC download failed"
25,10.1007/s40519-024-01685-1,"Screen time, problematic screen use, and eating disorder symptoms among early adolescents: findings from the Adolescent Brain Cognitive Development (ABCD) Study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39231917, PMCID: PMC11374868 - PMC download failed"
26,10.1016/j.jadohealth.2024.06.020,Longitudinal Use Patterns of Technology Subtypes During the Transition Into Early Adolescence: Results From the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39140927, PMCID: PMC11490364 - PMC download failed"
27,10.1038/s41598-024-68467-8,Passively sensing smartphone use in teens with rates of use by sex and across operating systems.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39097657, PMCID: PMC11297944 - PMC download failed"
28,10.1111/apa.17349,Family conflict and less parental monitoring were associated with greater screen time in early adolescence.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39031509, PMCID: PMC11464194 - PMC download failed"
29,10.1016/j.jadohealth.2024.06.006,Bedtime Screen Use Behaviors and Sleep Outcomes in Early Adolescents: A Prospective Cohort Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39046391, PMCID: PMC11610308 - PMC download failed"
30,10.1016/j.comppsych.2024.152509,Pixels and perception: Mapping the association between digital media and psychotic-like experiences in adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38905775, PMCID: N/A - No PMC available"
31,10.1038/s41598-024-63566-y,Long-term impact of digital media on brain development in children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38844772, PMCID: PMC11156852 - PMC download failed"
32,10.1038/s41390-024-03243-y,Associations between media parenting practices and early adolescent screen use.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38834780, PMCID: PMC11626836 - PMC download failed"
33,10.1186/s12889-024-18790-6,Association of physical activity and screen time with cardiovascular disease risk in the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38762449, PMCID: PMC11102349 - PMC download failed"
34,10.1016/j.annepidem.2024.04.013,Screen use in transgender and gender-questioning adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38719179, PMCID: PMC11629658 - PMC download failed"
35,10.1007/s00127-024-02669-3,"Childhood internalizing, externalizing and attention symptoms predict changes in social and nonsocial screen time.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38684513, PMCID: PMC12051214 - PMC download failed"
36,10.1016/j.dcn.2024.101388,NowIKnowMyABCD: A global resource hub for researchers using data from the ABCD Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38870743, PMCID: PMC11247354 - PMC download failed"
37,10.1556/2006.2024.00016,"Screen time, sleep, brain structural neurobiology, and sequential associations with child and adolescent psychopathology: Insights from the ABCD study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38662452, PMCID: PMC11220810 - PMC download failed"
38,10.1038/s44277-024-00006-9,Probing the digital exposome: associations of social media use patterns with youth mental health.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 39464493, PMCID: PMC11504934 - PMC download failed"
39,10.1186/s12966-024-01587-6,"Longitudinal associations of screen time, physical activity, and sleep duration with body mass index in U.S. youth.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38566134, PMCID: PMC10988901 - PMC download failed"
40,10.1002/eat.24169,Prospective association of screen time with binge-eating disorder among adolescents in the United States: The mediating role of depression.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38358046, PMCID: PMC11093704 - PMC download failed"
41,10.1080/10826084.2024.2310501,Social Media Use and Alcohol Sipping in Early Adolescents: A Prospective Cohort Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38336620, PMCID: PMC11104428 - PMC download failed"
42,10.1016/j.acap.2024.01.023,Associations of contemporary screen time modalities with early adolescent nutrition.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38311068, PMCID: PMC11193610 - PMC download failed"
43,10.1002/advs.202307540,"Causal Relationships Between Screen Use, Reading, and Brain Development in Early Adolescents.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38165022, PMCID: PMC10953555 - PMC download failed"
44,10.1037/hea0001351,Leveraging the adolescent brain cognitive development study to advance and promote adolescent health: Introduction to the special issue.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 38032598, PMCID: N/A - No PMC available"
45,10.1001/jamanetworkopen.2023.41502,Shared Genetic Risk in the Association of Screen Time With Psychiatric Problems in Children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37930702, PMCID: PMC10628728 - PMC download failed"
46,10.1016/j.jadohealth.2023.09.001,"Examining the Bidirectional Associations Between Sleep Duration, Screen Time, and Internalizing Symptoms in the ABCD Study",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37855753, PMCID: PMC10872986 - PMC download failed"
47,10.3390/brainsci13101452,"Screen Media Use Affects Subcortical Structures, Resting-State Functional Connectivity, and Mental Health Problems in Early Adolescence.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37891820, PMCID: PMC10604980 - PMC download failed"
48,10.1016/j.jadohealth.2023.08.033,"Risk Assessment of Maladaptive Behaviors in Adolescents: Nutrition, Screen Time, Prenatal Exposure, Childhood Adversities - Adolescent Brain Cognitive Development Study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37804305, PMCID: PMC10999504 - PMC download failed"
49,10.1016/j.pmedr.2023.102428,Identification and characterization of screen use trajectories from late childhood to adolescence in a US-population based cohort study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37766729, PMCID: PMC10520867 - PMC download failed"
50,10.1037/hea0001248,Longitudinal relationships between lifestyle risk factors and neurodevelopment in early adolescence.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37616102, PMCID: PMC10840638 - PMC download failed"
51,10.3389/fped.2023.1198033,Passive and social screen time in children with autism and in association with obesity.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37492602, PMCID: PMC10364473 - PMC download failed"
52,10.1038/s41398-023-02502-6,Generalizable prediction of childhood ADHD symptoms from neurocognitive testing and youth characteristics.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37355620, PMCID: PMC10290685 - PMC download failed"
53,10.1186/s12889-023-16111-x,Associations between adverse childhood experiences and early adolescent problematic screen use in the United States.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37349707, PMCID: PMC10286460 - PMC download failed"
54,10.1016/j.sleh.2023.02.005,Bedtime screen use behaviors and sleep outcomes: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 37098449, PMCID: PMC10823798 - PMC download failed"
55,10.1037/hea0001251,Effects of the COVID-19 pandemic on screen time and sleep in early adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36972087, PMCID: PMC10522787 - PMC download failed"
56,10.1016/j.annepidem.2023.03.004,Associations between sexual orientation and early adolescent screen use: findings from the Adolescent Brain Cognitive Development (ABCD) Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36965838, PMCID: PMC10793659 - PMC download failed"
57,10.1016/j.jaac.2023.02.014,Youth Screen Media Activity Patterns and Associations With Behavioral Developmental Measures and Resting-state Brain Functional Connectivity.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36963562, PMCID: PMC10509312 - PMC download failed"
58,10.1186/s12889-023-15298-3,Problematic social media use and alcohol expectancies in early adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36879232, PMCID: PMC9987130 - PMC download failed"
59,10.1016/j.ypmed.2023.107452,Screen time and suicidal behaviors among U.S. children 9-11 years old: A prospective cohort study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36805495, PMCID: PMC10829425 - PMC download failed"
60,10.1016/j.dcn.2023.101218,Negative impact of daily screen use on inhibitory control network in preadolescence: A two-year follow-up study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36821878, PMCID: PMC9933860 - PMC download failed"
61,10.1001/jamanetworkopen.2022.55466,Association of Physical Activity and Screen Time With Body Mass Index Among US Adolescents.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36757695, PMCID: PMC9912127 - PMC download failed"
62,10.1016/j.acap.2022.12.007,Cyberbullying and Sleep Disturbance Among Early Adolescents in the U.S.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36581100, PMCID: PMC10291005 - PMC download failed"
63,10.1016/j.jadohealth.2022.10.019,Adherence to 24-Hour Movement Recommendations and Health Indicators in Early Adolescence: Cross-Sectional and Longitudinal Associations in the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36528521, PMCID: N/A - No PMC available"
64,10.1016/j.jadohealth.2022.10.023,Screen Time and Obsessive-Compulsive Disorder Among Children 9-10 Years Old: A Prospective Cohort Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36517380, PMCID: PMC9975071 - PMC download failed"
65,10.1002/jad.12124,Adverse childhood experiences and early adolescent cyberbullying in the United States.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36443937, PMCID: PMC10079567 - PMC download failed"
66,10.1001/jamanetworkopen.2022.35721,Association of Video Gaming With Cognitive Performance Among Children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36279138, PMCID: PMC9593235 - PMC download failed"
67,10.1007/s11294-022-09854-7,Estimating Parental Demand for Children’s Screen Time in a Model of Family Labor Supply,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: None, PMCID: N/A - No PMC available"
68,10.1016/j.dcn.2022.101150,Youth screen use in the ABCD® study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 36084446, PMCID: PMC9465320 - PMC download failed"
69,10.1111/jcpp.13673,Contemporary screen time modalities and disruptive behavior disorders in children: a prospective cohort study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35881083, PMCID: PMC9771898 - PMC download failed"
70,10.1016/j.acap.2022.07.007,"Associations Between Adverse Childhood Experiences, Adolescent Screen Time and Physical Activity During the COVID-19 Pandemic.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35853601, PMCID: PMC9288265 - PMC download failed"
71,10.1016/j.acap.2022.07.003,Social Epidemiology of Early Adolescent Cyberbullying in the United States.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35840085, PMCID: PMC9969904 - PMC download failed"
72,10.1016/j.pmedr.2022.101900,COVID information and masking behaviors in U.S. adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35845820, PMCID: PMC9270771 - PMC download failed"
73,10.1038/s41390-022-02176-8,Social epidemiology of early adolescent problematic screen use in the United States.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35768491, PMCID: PMC9243697 - PMC download failed"
74,10.1016/j.jad.2022.05.071,Associations between screen time and internalizing disorder diagnoses among 9- to 10-year-olds.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35594974, PMCID: N/A - No PMC available"
75,10.1038/s41598-022-11341-2,The impact of digital media on children's intelligence while controlling for genetic differences in cognition and socioeconomic background.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35545630, PMCID: PMC9095723 - PMC download failed"
76,10.1016/j.ebiom.2022.104039,Longer screen time utilization is associated with the polygenic risk for Attention-deficit/hyperactivity disorder with mediation by brain white matter microstructure.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35509143, PMCID: PMC9079003 - PMC download failed"
77,10.1016/j.jaac.2022.03.025,"Understanding Associations Between Race/Ethnicity, Experiences of Discrimination, and Psychotic-like Experiences in Middle Childhood.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35378237, PMCID: PMC9525459 - PMC download failed"
78,10.1111/apa.16253,Parental psychological problems were associated with higher screen time and the use of mature-rated media in children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35023210, PMCID: PMC9306600 - PMC download failed"
79,10.1016/j.jadohealth.2021.11.023,The Pandemic's Toll on Young Adolescents: Prevention and Intervention Targets to Preserve Their Mental Health.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 35090817, PMCID: PMC8789404 - PMC download failed"
80,10.1001/jamapediatrics.2021.4334,Screen Time Use Among US Adolescents During the COVID-19 Pandemic: Findings From the Adolescent Brain Cognitive Development (ABCD) Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 34724543, PMCID: PMC8561427 - PMC download failed"
81,10.1016/j.acap.2021.12.008,Parent-Adolescent Discrepancies in Adolescent Recreational Screen Time Reporting During the Coronavirus Disease 2019 Pandemic.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 34923146, PMCID: PMC8675144 - PMC download failed"
82,10.2196/29426,Passive Sensing of Preteens' Smartphone Use: An Adolescent Brain Cognitive Development (ABCD) Cohort Substudy.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 34661541, PMCID: PMC8561413 - PMC download failed"
83,10.1371/journal.pone.0256591,"Screen time and early adolescent mental health, academic, and social outcomes in 9- and 10- year old children: Utilizing the Adolescent Brain Cognitive Development ℠ (ABCD) Study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 34496002, PMCID: PMC8425530 - PMC download failed"
84,10.1016/j.jpeds.2021.08.077,Sociodemographic Correlates of Contemporary Screen Time Use among 9- and 10-Year-Old Children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 34481807, PMCID: PMC9107378 - PMC download failed"
85,10.1111/ijpo.12827,Contemporary screen time usage among children 9-10-years-old is associated with higher body mass index percentile at 1-year follow-up: A prospective cohort study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 34180585, PMCID: PMC10044498 - PMC download failed"
86,10.1016/j.bpsc.2021.02.013,Identification and Validation of Distinct Latent Neurodevelopmental Profiles in the Adolescent Brain and Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 33706021, PMCID: PMC8426420 - PMC download failed"
87,10.1002/eat.23489,Contemporary screen time modalities among children 9-10 years old and binge-eating disorder at one-year follow-up: A prospective cohort study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 33646623, PMCID: PMC9714253 - PMC download failed"
88,10.3390/ijerph18020699,Typologies of Family Functioning and 24-h Movement Behaviors.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 33467473, PMCID: PMC7830979 - PMC download failed"
89,10.3390/info11110538,American Children's Screen Time: Diminished Returns of Household Income in Black Families.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 33282415, PMCID: N/A - No PMC available"
90,10.1016/j.jadohealth.2020.09.003,24-Hour Movement Behaviors and Internalizing and Externalizing Behaviors Among Youth.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 33069581, PMCID: N/A - No PMC available"
91,10.1007/s10802-020-00703-x,Unpacking Associations between Mood Symptoms and Screen Time in Preadolescents: a Network Analysis.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 32926284, PMCID: N/A - No PMC available"
92,10.1016/j.sleh.2020.07.002,Screen media use and sleep disturbance symptom severity in children.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 32861729, PMCID: N/A - No PMC available"
93,10.1016/S2215-0366(20)30049-3,Risk and protective factors for childhood suicidality: a US population-based study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 32171431, PMCID: PMC7456815 - PMC download failed"
94,10.1016/j.jadohealth.2019.12.005,Sleep Disturbance Predicts Depression Symptoms in Early Adolescence: Initial Findings From the Adolescent Brain Cognitive Development Study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 32046896, PMCID: PMC7183901 - PMC download failed"
95,10.1007/s10578-019-00892-7,Differential Relationships of Child Anxiety and Depression to Child Report and Parent Report of Electronic Media Use.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 31062126, PMCID: PMC6790192 - PMC download failed"
96,10.1186/s12966-019-0862-x,Screen time and problem behaviors in children: exploring the mediating role of sleep duration.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 31727084, PMCID: PMC6854622 - PMC download failed"
97,10.1542/peds.2019-0187,24-Hour Movement Behaviors and Impulsivity.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 31413180, PMCID: PMC6856835 - PMC download failed"
98,10.1017/S0033291719001545,"Demographic, psychological, behavioral, and cognitive correlates of BMI in youth: Findings from the Adolescent Brain Cognitive Development (ABCD) study.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 31288867, PMCID: N/A - No PMC available"
99,10.1016/j.neuroimage.2018.10.040,Screen media activity and brain structure in youth: Evidence for diverse structural correlation networks from the ABCD study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 30339913, PMCID: PMC6487868 - PMC download failed"
100,10.1016/S2352-4642(18)30278-5,Associations between 24 hour movement behaviours and global cognition in US children: a cross-sectional observational study.,,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 30268792, PMCID: PMC6298223 - PMC download failed"
101,10.1016/j.dcn.2018.03.008,"Current, future and potential use of mobile and wearable technologies and social media data in the ABCD study to increase understanding of contributors to child health.",,pending_browser,pending,0,,,,AI,2026-03-24,"PMID: 29636283, PMCID: PMC6447367 - PMC download failed"
