row_id,title,authors,journal,year,doi,url,url_type,coder,date_coded,notes
11,Prevalence of Suicidal Ideation and Suicide Attempts by Race and Gender in Three Large U.S. Adolescent Cohorts.,Cooper AM; Visoki E; Tran KT; Elbaz E; Gataviņš MM; McKetta S; Fein JA; Benton TD; Barzilay R,The American journal of psychiatry,2025,10.1176/appi.ajp.20240735,https://doi.org/10.1176/appi.ajp.20240735,DOI,AI,2026-03-24,
12,Parental Substance Use History Density and Its Influence on Reward Anticipation Brain Activation in Late Childhood and Early Adolescence,Navarro-Love GY; Stinson EA; Sullivan RM; & Lisdahl KM,Developmental Cognitive Neuroscience,2025,10.1016/j.dcn.2025.101572,https://doi.org/10.1016/j.dcn.2025.101572,DOI,AI,2026-03-24,
13,Unlocking the potential of wearable technology: Fitbit-derived measures for predicting ADHD in adolescents,Rahman MM,Front. Child Adolesc. Psychiatry,2025,10.3389/frcha.2025.1504323,https://doi.org/10.3389/frcha.2025.1504323,DOI,AI,2026-03-24,
14,Associations between structural stigma and earlier pubertal timing persist for 1 year among Black girls and Latinx youth.,Martino RM; Hollinsaid NL; Colich NL; McLaughlin KA; Hatzenbuehler ML,Scientific reports,2025,10.1038/s41598-025-00378-8,https://doi.org/10.1038/s41598-025-00378-8,DOI,AI,2026-03-24,
15,"Differentiation of Executive Functions During Adolescence: Converging Evidence from Behavioral, Genetic and Neural Data.",Yin R; Wang X; Zhao X; Chen C; Dong Q; Wang Q; Fang Y; Chen C,Biological psychology,2025,10.1016/j.biopsycho.2025.109058,https://doi.org/10.1016/j.biopsycho.2025.109058,DOI,AI,2026-03-24,
16,"Cyberbullying, mental health, and substance use experimentation among early adolescents: a prospective cohort study",Nagata JM; Shim J; Balasubramanian P; Leong AW; Smith-Russack Z; Shao IY; Al-Shoaibi AAA; Helmer CK; Ganson KT; Testa A; Kiss O; He J; Groves AK; Baird S; & Baker FC,The Lancet,2025,10. 1016/j.lana.2025. 101002,https://doi.org/10. 1016/j.lana.2025. 101002,DOI,AI,2026-03-24,
17,Cross-sectional mega-analysis of resting-state alterations associated with autism and attention-deficit/hyperactivity disorder in children and adolescents,Normal LJ; Sudre G; Bouyssi-Kobar M; Jiao M; Gligorovic S; Jean J; White T; & Shaw P,Nature Mental Health,2025,10.1038/s44220-025-00431-5,https://doi.org/10.1038/s44220-025-00431-5,DOI,AI,2026-03-24,
18,"Brain wiring economics, network organisation and population-level genomics",Monaghan A; Akarca D; & Astle DE,Imaging Neuroscience,2025,10.1162/IMAG.a.31,https://doi.org/10.1162/IMAG.a.31,DOI,AI,2026-03-24,
19,Sustained breastfeeding associations with brain structure and cognition from late childhood to early adolescence.,González JO; Fernández MAR; Esaian S; Rajagopalan V; Bouhrara M; Goran MI; Adise S,Pediatric research,2025,10.1038/s41390-025-04086-x,https://doi.org/10.1038/s41390-025-04086-x,DOI,AI,2026-03-24,
20,Longitudinal and Geographic Trends in Perceived Racial Discrimination Among Adolescents in the United States: The Adolescent Brain Cognitive Development Study.,Fields CT; Black C; Calhoun AJ; Rosenblatt M; Rodriguez R; Aina J; Thind JK; Grayson J; Khalifa F; Assari S; Zhou X; Nagata J; Gee DG,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2025,10.1016/j.jadohealth.2025.03.014,https://doi.org/10.1016/j.jadohealth.2025.03.014,DOI,AI,2026-03-24,
21,"Associations of interpersonal and socioeconomic early life adversity dimensions with adolescents' corticolimbic circuits, cognition, and mental health.",Yang Y; Kong T; Liu R; Luo L,Translational psychiatry,2025,10.1038/s41398-025-03384-6,https://doi.org/10.1038/s41398-025-03384-6,DOI,AI,2026-03-24,
22,"Mental Health, Minority Stressors and Resilience Factors Among Early Adolescent Immigrant Youth.",Michel N; Tran KT; Visoki E; Gataviņš MM; Ly C; Barzilay R,Journal of the American Academy of Child and Adolescent Psychiatry,2025,10.1016/j.jaac.2025.05.005,https://doi.org/10.1016/j.jaac.2025.05.005,DOI,AI,2026-03-24,
23,Developing brain asymmetry shapes cognitive and psychiatric outcomes in adolescence.,Wu X; Zhang K; Kuang N; Kong X; Cao M; Lian Z; Liu Y; Fan H; Yu G; Liu Z; Cheng W; Jia T; Sahakian BJ; Robbins TW; Feng J; Schumann G; Palaniyappan L; Zhang J,Nature communications,2025,10.1038/s41467-025-59110-9,https://doi.org/10.1038/s41467-025-59110-9,DOI,AI,2026-03-24,
24,Missing data approaches for longitudinal neuroimaging research: Examples from the Adolescent Brain and Cognitive Development (ABCD) Study®.,Li L; Bayat M; Hayes TB; Thompson WK; Neale MC; Gard AM; Dick AS,Developmental cognitive neuroscience,2025,10.1016/j.dcn.2025.101563,https://doi.org/10.1016/j.dcn.2025.101563,DOI,AI,2026-03-24,
25,"Socioeconomic deprivation, brain morphology, and body fat among children and adolescents.",Yang A; Lu HJ; Chang L,Brain and cognition,2025,10.1016/j.bandc.2025.106315,https://doi.org/10.1016/j.bandc.2025.106315,DOI,AI,2026-03-24,
26,Stimulant Medication Use and Risk of Psychotic Experiences.,O'Hare K; Byrne JF; Ramsay H; Romaniuk L; McGrath J; Keating D; Migone M; O'Connor K; Coss N; Cannon M; Cotter D; Healy C; Kelleher I,Pediatrics,2025,10.1542/peds.2024-069142,https://doi.org/10.1542/peds.2024-069142,DOI,AI,2026-03-24,
27,"Associations Among Green Space Exposure, Brain, and Mental Health and Cognition in the Adolescent Brain Cognitive Development (ABCD) Stud",Liu J; Yang Y; Kong T; Liu R; & Luo L,Journal of Environmental Psychology,2025,10.1016/j.jenvp.2025.102625,https://doi.org/10.1016/j.jenvp.2025.102625,DOI,AI,2026-03-24,
28,Examining measurement discrepancies in adolescent screen media activity with insights from the ABCD study.,Zhao Y; Han X; Bagot KS; Tapert SF; Potenza MN; Paulus MP,Npj mental health research,2025,10.1038/s44184-025-00131-z,https://doi.org/10.1038/s44184-025-00131-z,DOI,AI,2026-03-24,
29,Brain-wide associations of reaction time variability in the ABCD Study,Maloney TC; Dudley JA; Karalunas SL; Atluri G; Simon JO; Tamm L; & Epstein JN,Imaging Neuroscience,2025,10.1162/IMAG.a.18,https://doi.org/10.1162/IMAG.a.18,DOI,AI,2026-03-24,
30,"Neural, cognitive and psychopathological signatures of a prosocial or delinquent peer environment during early adolescence.",Liu Y; Peng S; Wu X; Liu Z; Lian Z; Fan H; Kuang N; Gu X; Yang S; Hu Y; Jiang X; Zhang Y; Cheng W; Feng J; Sahakian BJ; Zhao X; Robbins TW; Becker B; Zhang J,Developmental cognitive neuroscience,2025,10.1016/j.dcn.2025.101566,https://doi.org/10.1016/j.dcn.2025.101566,DOI,AI,2026-03-24,
31,"Boys Versus Girls Youth Sports Participation Risk for Mild Traumatic Brain Injury and Behavioral, Physical Health, and Neurocognitive Outcomes.",Meng W; Vaida F; Dennis EL; Wilde EA; Jacobus J; Yang X; Cheng M; Troyer EA; Delfel EL; Abildskov T; Hesselink JR; Bigler ED; Max JE,The Journal of head trauma rehabilitation,2025,10.1097/HTR.0000000000001065,https://doi.org/10.1097/HTR.0000000000001065,DOI,AI,2026-03-24,
32,Abnormal alterations in neurodevelopment in preterm children with very low birth weight during the adolescence.,Ji W; Li G; Hu Y; Zhang W; Li J; Li Y; Gao X; Manza P; Volkow ND; Wang GJ; Zhang Y,European child & adolescent psychiatry,2025,10.1007/s00787-025-02724-7,https://doi.org/10.1007/s00787-025-02724-7,DOI,AI,2026-03-24,
33,"Environmental, Health, and Psychological Factors Predict Alcohol Sipping in Childhood: A Machine Learning Analysis of the ABCD Study",Niklason GR; Maxwell AM; Brucar LR; Ostrand C; Kummerfeld E; Luciana M; & Zilverstand A,JAACAP Open,2025,10.1016/j.jaacop.2025.04.007,https://doi.org/10.1016/j.jaacop.2025.04.007,DOI,AI,2026-03-24,
34,Estimated Nutrient Intake and Association With Psychiatric and Sleep Problems in Autistic Youth in the Adolescent Brain Cognitive Development Study.,Radoeva PD; Li EA; Legere CH; Saletin JM; Philip NS; Dickstein DP,Autism research : official journal of the International Society for Autism Research,2025,10.1002/aur.70040,https://doi.org/10.1002/aur.70040,DOI,AI,2026-03-24,
35,Perinatal SSRI exposure impacts innate fear circuit activation and behavior in mice and humans.,Zanni G; van Dijk MT; Cagliostro MC; Sepulveda P; Pini N; Rose AL; Kesin AL; Lugo-Candelas C; Goncalves PD; MacKay AS; Iigaya K; Kulkarni P; Ferris CF; Weissman MM; Talati A; Ansorge MS; Gingrich JA,Nature communications,2025,10.1038/s41467-025-58785-4,https://doi.org/10.1038/s41467-025-58785-4,DOI,AI,2026-03-24,
36,Apolipoprotein E (APOE) Genotype and Cognitive Outcomes of Snoring in a Large Cohort of Adolescents.,Isaiah A,The Laryngoscope,2025,10.1002/lary.32235,https://doi.org/10.1002/lary.32235,DOI,AI,2026-03-24,
37,The measurement of self-regulation in the Adolescent Brain Cognitive Development (ABCD) Study.,Marek MJ; Heep A; Hildebrandt A,PloS one,2025,10.1371/journal.pone.0322795,https://doi.org/10.1371/journal.pone.0322795,DOI,AI,2026-03-24,
38,"The relationship between parenting behavior, suicidal ideation, and suicide attempt across two population-based samples of adolescents.",Stephenson M; Salvatore JE; Lannoy S; Edwards AC,Journal of affective disorders,2025,10.1016/j.jad.2025.05.030,https://doi.org/10.1016/j.jad.2025.05.030,DOI,AI,2026-03-24,
39,Social epidemiology of sports and extracurricular activities in early adolescents.,Nagata JM; Wong JH; Helmer CK; Diep T; Domingue SK; Al-Shoaibi AAA; Ganson KT; Testa A; Dooley EE; Gooding HC; Baker FC; Pettee Gabriel K,Pediatric research,2025,10.1038/s41390-025-04099-6,https://doi.org/10.1038/s41390-025-04099-6,DOI,AI,2026-03-24,
40,White matter microstructural associations with pain experiences in a large community sample of youth.,Jones SA; Bango CI; Shao S; Del Rubin DY; Flores AL; Nagel BJ; Holley AL; Wilson AC,Pain,2025,10.1097/j.pain.0000000000003580,https://doi.org/10.1097/j.pain.0000000000003580,DOI,AI,2026-03-24,
41,State-level structural racism and sleep disturbances among Black and Latinx adolescents: Findings from the adolescent brain cognitive development study.,Zhang Y; Zhao Z; Wang Y,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",2025,10.1037/hea0001470,https://doi.org/10.1037/hea0001470,DOI,AI,2026-03-24,
42,The Impact of Adversity and Family Conflict on Risk for Future Substance Use Among Young Adolescents in the Adolescent Brain Cognitive Development Study (ABCD Study): A Cohort Analysis.,Rodrigues SM; Saghafi A; Wang Q; Shin SS; Dube SL; Diestel A; Stevens R; Bounds DT,"Journal of child and adolescent psychiatric nursing : official publication of the Association of Child and Adolescent Psychiatric Nurses, Inc",2025,10.1111/jcap.70017,https://doi.org/10.1111/jcap.70017,DOI,AI,2026-03-24,
43,Latent Default Mode Network Connectivity Patterns: Associations With Sleep Health and Adolescent Psychopathology.,Zhang L; Geier C; House E; Oshri A,Brain and behavior,2025,10.1002/brb3.70579,https://doi.org/10.1002/brb3.70579,DOI,AI,2026-03-24,
44,Social Media Use and Depressive Symptoms During Early Adolescence.,Nagata JM; Otmar CD; Shim J; Balasubramanian P; Cheng CM; Li EJ; Al-Shoaibi AAA; Shao IY; Ganson KT; Testa A; Kiss O; He J; Baker FC,JAMA network open,2025,10.1001/jamanetworkopen.2025.11704,https://doi.org/10.1001/jamanetworkopen.2025.11704,DOI,AI,2026-03-24,
45,Genetic Links Between Subcortical Brain Morphometry and Suicide Attempt Risk in Children and Adults.,Ceja Z; García-Marín LM; Hung IT; Medland SE; Edwards AC; Rentería ME; Rabinowitz JA,Human brain mapping,2025,10.1002/hbm.70220,https://doi.org/10.1002/hbm.70220,DOI,AI,2026-03-24,
46,"Race, Ethnicity, Sex, Sexual Orientation, and Discrimination in the Adolescent Brain Cognitive Development Study.",Zhao Z; Yan J; Wang Y; Liu CH; Wang L; Cham H; Yip T,JAMA network open,2025,10.1001/jamanetworkopen.2025.10799,https://doi.org/10.1001/jamanetworkopen.2025.10799,DOI,AI,2026-03-24,
47,"Adolescent smartphone use, sleep, and physical activity: daily associations between sensor-based measures in the adolescent brain cognitive development (ABCD) study.",Alexander JD; Nguyen-Louie TT; Gupta S; Cummins KM; Wade NE,Psychiatry research,2025,10.1016/j.psychres.2025.116523,https://doi.org/10.1016/j.psychres.2025.116523,DOI,AI,2026-03-24,
48,Predicting the onset of mental health problems in adolescents.,Hou J; Mortel L; Popma A; Smit D; van Wingen G,Psychological medicine,2025,10.1017/S003329172500087X,https://doi.org/10.1017/S003329172500087X,DOI,AI,2026-03-24,
49,Network temperature as a metric of stability in depression symptoms across adolescence.,Grimes PZ; Murray AL; Smith K; Allegrini AG; Piazza GG; Larsson H; Epskamp S; Whalley HC; Kwong ASF,Nature. Mental health,2025,10.1038/s44220-025-00415-5,https://doi.org/10.1038/s44220-025-00415-5,DOI,AI,2026-03-24,
50,Beyond screen time: The core influences of problematic screen use on adolescent development networks.,Xu LX; Song KR; Deng HY; Geng XM; Zhang JL; Fang XY; Potenza MN; Zhang JT,Journal of behavioral addictions,2025,10.1556/2006.2025.00035,https://doi.org/10.1556/2006.2025.00035,DOI,AI,2026-03-24,
51,Adverse childhood experiences and multisite pain among adolescents in the United States.,Smith T; Kheirabadi D; Guo Y; Sun J; Pierce J; Bergmans RS; Boehnke KF; Schrepf A; Clauw D; Kaplan CM; Arewasikporn A,Pain reports,2025,10.1097/PR9.0000000000001279,https://doi.org/10.1097/PR9.0000000000001279,DOI,AI,2026-03-24,
52,Genetic approach uncovering the pathways between childhood maltreatment and suicide attempt.,Qu D; Zhang X; He Y; Lei C; Han Y; Lin J; Cai T; Zhu X; Mao Y; Chen R,Molecular psychiatry,2025,10.1038/s41380-025-02966-6,https://doi.org/10.1038/s41380-025-02966-6,DOI,AI,2026-03-24,
53,Negative life events during early adolescence are associated with neural deactivation to emotional stimuli.,Gaillard M; Jones SA; Kliamovich D; Flores AL; Nagel BJ,Brain and cognition,2025,10.1016/j.bandc.2025.106303,https://doi.org/10.1016/j.bandc.2025.106303,DOI,AI,2026-03-24,
54,"Characterizing the Effects of Age, Puberty, and Sex on Variability in Resting-State Functional Connectivity in Late Childhood and Early Adolescence.",Duffy KA; Wiglesworth A; Roediger DJ; Island E; Mueller BA; Luciana M; Klimes-Dougan B; Cullen KR; Fiecas MB,NeuroImage,2025,10.1016/j.neuroimage.2025.121238,https://doi.org/10.1016/j.neuroimage.2025.121238,DOI,AI,2026-03-24,
55,Sources and components of fine air pollution exposure and brain morphology in preadolescents.,Sukumaran K; Bottenhorn KL; Rosario MA; Cardenas-Iniguez C; Habre R; Abad S; Schwartz J; Hackman DA; Chen JC; Herting MM,The Science of the total environment,2025,10.1016/j.scitotenv.2025.179448,https://doi.org/10.1016/j.scitotenv.2025.179448,DOI,AI,2026-03-24,
56,Genetic influence and neural pathways underlying the dose-response relationships between wearable-measured physical activity and mental health in adolescence.,Yu G; Wu X; Liu Z; Shi M; Fan H; Liu Y; Kuang N; Peng S; Lian Z; Huang C; Wu H; Fan B; Feng J; Cheng W; Sahakian BJ; Robbins TW; Becker B; Zhang J,Psychiatry research,2025,10.1016/j.psychres.2025.116503,https://doi.org/10.1016/j.psychres.2025.116503,DOI,AI,2026-03-24,
57,Machine learning-derived multimodal Neurobiological profiles of behavioral activation traits in adolescents.,Xu H; Li J; Xu J; Li D,European child & adolescent psychiatry,2025,10.1007/s00787-025-02714-9,https://doi.org/10.1007/s00787-025-02714-9,DOI,AI,2026-03-24,
58,Dimensional foundations toward a novel nosology addressing comorbidity: Preadolescent syndrome profiles.,Walker JC; Parker AJ; Patel KR; Dougherty LR; Wiggins JL,Journal of affective disorders,2025,10.1016/j.jad.2025.04.082,https://doi.org/10.1016/j.jad.2025.04.082,DOI,AI,2026-03-24,
59,Mapping effective connectivity by virtually perturbing a surrogate brain.,Luo Z; Peng K; Liang Z; Cai S; Xu C; Li D; Hu Y; Zhou C; Liu Q,Nature methods,2025,10.1038/s41592-025-02654-x,https://doi.org/10.1038/s41592-025-02654-x,DOI,AI,2026-03-24,
60,Risk of racism as a social determinant of suicidality among young adolescents in the United States: An investigation using the Adolescent Brain Cognitive Development Study.,Wood BM; Hall A; Baiden P,Journal of psychiatric research,2025,10.1016/j.jpsychires.2025.04.043,https://doi.org/10.1016/j.jpsychires.2025.04.043,DOI,AI,2026-03-24,
61,Transfer Learning of Deep Neural Networks Pretrained using the ABCD Dataset for General Psychopathology Prediction in Korean Adolescents.,Hwang J; Kang JE; Jeon S; Lee KH; Kim JW; Lee JH,Biological psychiatry. Cognitive neuroscience and neuroimaging,2025,10.1016/j.bpsc.2025.04.005,https://doi.org/10.1016/j.bpsc.2025.04.005,DOI,AI,2026-03-24,
62,Transdiagnostic Symptom Domains Have Distinct Patterns of Association with Head Motion During Multimodal Imaging in Children,Hercules K; Liu Z; Christofilea E; Wei J; Venagas G; Ciocca O; Dyer A; Lee G; Santini-Bishop S; Shappell H; Gee DG; Sukhodolsky DG; & Ibrahim K,Biological Psychiatry Global Open Science,2025,10.1016/j.bpsgos.2025.100506,https://doi.org/10.1016/j.bpsgos.2025.100506,DOI,AI,2026-03-24,
63,Neural correlates of device-based sleep characteristics in adolescents.,Ma Q; Sahakian BJ; Zhang B; Li Z; Yu JT; Li F; Feng J; Cheng W,Cell reports,2025,10.1016/j.celrep.2025.115565,https://doi.org/10.1016/j.celrep.2025.115565,DOI,AI,2026-03-24,
64,A Phenome-Wide association study (PheWAS) of genetic risk for C-reactive protein in children of European Ancestry: Results from the ABCD study.,Norton SA; Gorelik AJ; Paul SE; Johnson EC; Baranger DA; Siudzinski JL; Li ZA; Bondy E; Modi H; Karcher NR; Hershey T; Hatoum AS; Agrawal A; Bogdan R,"Brain, behavior, and immunity",2025,10.1016/j.bbi.2025.04.012,https://doi.org/10.1016/j.bbi.2025.04.012,DOI,AI,2026-03-24,
65,"Longitudinal associations between greenspace exposure, structural brain development, and mental health and academic performance during early adolescence.",Li Q; Whittle S; Rakesh D,Biological psychiatry,2025,10.1016/j.biopsych.2025.03.026,https://doi.org/10.1016/j.biopsych.2025.03.026,DOI,AI,2026-03-24,
66,"Perceived Racism, Brain Development, and Internalizing and Externalizing Symptoms: Findings From the ABCD Study.",Chen S; Lopez-Quintero C; Elton A,Journal of the American Academy of Child and Adolescent Psychiatry,2025,10.1016/j.jaac.2025.04.005,https://doi.org/10.1016/j.jaac.2025.04.005,DOI,AI,2026-03-24,
67,Examining the Impact of Early Life Adversity on Adolescent Sleep Health: Findings from the ABCD Study,Hunt ET; Brazendale K; César Ferreira De Moraes A; Vinnicius Nascimento-Ferreira M; Pfledderer CD; Sampaio Izabel S; Dooley EE; Chen B; Fernandez A; Johnson ME; Garavan H; Potter AS; Dube SL; Allgaier N; Hoelscher DM; & Tapert SF,Child Protection and Practice,2025,10.1016/j.chipro.2025.100154,https://doi.org/10.1016/j.chipro.2025.100154,DOI,AI,2026-03-24,
68,The human brainstem's red nucleus was upgraded to support goal-directed action.,Krimmel SR; Laumann TO; Chauvin RJ; Hershey T; Roland JL; Shimony JS; Willie JT; Norris SA; Marek S; N Van A; Wang A; Monk J; Scheidter KM; Whiting FI; Ramirez-Perez N; Metoki A; Baden NJ; Kay BP; Siegel JS; Nahman-Averbuch H; Snyder AZ; Fair DA; Lynch CJ; Raichle ME; Gordon EM; Dosenbach NUF,Nature communications,2025,10.1038/s41467-025-58172-z,https://doi.org/10.1038/s41467-025-58172-z,DOI,AI,2026-03-24,
69,Examining the Agreement Between Subjective and Objective Measures of Sleep: A Comparison of Munich Chronotype Questionnaire and Fitbit-Derived Sleep Metrics.,Rohr KE; Thomas ML; McCarthy MJ; Meruelo AD,Journal of sleep research,2025,10.1111/jsr.70065,https://doi.org/10.1111/jsr.70065,DOI,AI,2026-03-24,
70,Whole-brain white matter variation across childhood environments.,Carozza S; Kletenik I; Astle D; Schwamm L; Dhand A,Proceedings of the National Academy of Sciences of the United States of America,2025,10.1073/pnas.2409985122,https://doi.org/10.1073/pnas.2409985122,DOI,AI,2026-03-24,
71,The Effect of Prenatal Marijuana Exposure on White Matter Microstructure and Cortical Morphology During Late Childhood.,Acosta-Rodriguez H; Bobba P; Zeevi T; Ment LR; Payabvash S,AJNR. American journal of neuroradiology,2025,10.3174/ajnr.A8774,https://doi.org/10.3174/ajnr.A8774,DOI,AI,2026-03-24,
72,Prediction of first attempt of suicide in early adolescence using machine learning.,Huang C; Yue Y; Wang Z; Liu Y; Yao N; Mu W,Journal of affective disorders,2025,10.1016/j.jad.2025.03.201,https://doi.org/10.1016/j.jad.2025.03.201,DOI,AI,2026-03-24,
73,From error to insight: Removing non-systematic responding data in the delay discounting task may introduce systematic bias.,Gelino BW; Stone BM; Kahn GD; Strickland JC; Felton JW; Maher BS; Yi R; Rabinowitz JA,Journal of experimental child psychology,2025,10.1016/j.jecp.2025.106239,https://doi.org/10.1016/j.jecp.2025.106239,DOI,AI,2026-03-24,
74,AI predicts risk of mental health disorders.,Zelenka L,Nature neuroscience,2025,10.1038/s41593-025-01940-3,https://doi.org/10.1038/s41593-025-01940-3,DOI,AI,2026-03-24,
75,Human lifespan changes in the brain's functional connectome.,Sun L; Zhao T; Liang X; Xia M; Li Q; Liao X; Gong G; Wang Q; Pang C; Yu Q; Bi Y; Chen P; Chen R; Chen Y; Chen T; Cheng J; Cheng Y; Cui Z; Dai Z; Deng Y; Ding Y; Dong Q; Duan D; Gao JH; Gong Q; Han Y; Han Z; Huang CC; Huang R; Huo R; Li L; Lin CP; Lin Q; Liu B; Liu C; Liu N; Liu Y; Liu Y; Lu J; Ma L; Men W; Qin S; Qiu J; Qiu S; Si T; Tan S; Tang Y; Tao S; Wang D; Wang F; Wang J; Wang P; Wang X; Wang Y; Wei D; Wu Y; Xie P; Xu X; Xu Y; Xu Z; Yang L; Yuan H; Zeng Z; Zhang H; Zhang X; Zhao G; Zheng Y; Zhong S; He Y,Nature neuroscience,2025,10.1038/s41593-025-01907-4,https://doi.org/10.1038/s41593-025-01907-4,DOI,AI,2026-03-24,
76,What we know about screen time and social media in early adolescence: a review of findings from the Adolescent Brain Cognitive Development Study.,Nagata JM; Lee CM; Hur JO; Baker FC,Current opinion in pediatrics,2025,10.1097/MOP.0000000000001462,https://doi.org/10.1097/MOP.0000000000001462,DOI,AI,2026-03-24,
77,Improving accuracy and precision of heritability estimation in twin studies through hierarchical modeling: reassessing the measurement error assumption.,Chen G; Moraczewski D; Taylor PA,Frontiers in genetics,2025,10.3389/fgene.2025.1522729,https://doi.org/10.3389/fgene.2025.1522729,DOI,AI,2026-03-24,
78,Attention Rings for Shape Analysis and Application to MRI Quality Control.,Davaux F; Valladon L; Dole L; Fillion JC; Paniagua B; Styner M; Prieto JC,Proceedings of SPIE--the International Society for Optical Engineering,2025,10.1117/12.3047233,https://doi.org/10.1117/12.3047233,DOI,AI,2026-03-24,
79,Elevated loss sensitivity in the reward circuit in adolescents with video game but not social media addiction,He X; Chen Y; Zhang W; & Li C-S R,Computers in Human Behavior,2025,10.1016/j.chb.2025.108554,https://doi.org/10.1016/j.chb.2025.108554,DOI,AI,2026-03-24,
80,Genetic Propensity for Delay Discounting and Educational Attainment in Adults Are Associated With Delay Discounting in Preadolescents: Findings From the Adolescent Brain Cognitive Development Study.,Rabinowitz JA; Thomas N; Strickland JC; Meredith JJ; Hung IT; Cupertino RB; Felton JW; Gelino B; Stone B; Maher BS; Dick D; Yi R; Flores-Ocampo V; García-Marín LM; Rentería ME; Palmer AA; Sanchez-Roige S,"Genes, brain, and behavior",2025,10.1111/gbb.70020,https://doi.org/10.1111/gbb.70020,DOI,AI,2026-03-24,
81,"Regional, but not brain-wide, graph theoretic measures are robustly and reproducibly linked to general cognitive ability.",Molloy MF; Taxali A; Angstadt M; Greathouse T; Toda-Thorne K; McCurry KL; Weigard A; Kardan O; Burchell L; Dziubinski M; Choi J; Vandersluis M; Michael C; Heitzeg MM; Sripada C,"Cerebral cortex (New York, N.Y. : 1991)",2025,10.1093/cercor/bhaf074,https://doi.org/10.1093/cercor/bhaf074,DOI,AI,2026-03-24,
82,Gestational Age and Cognitive Development in Childhood.,Nivins S; Padilla N; Kvanta H; Ådén U,JAMA network open,2025,10.1001/jamanetworkopen.2025.4580,https://doi.org/10.1001/jamanetworkopen.2025.4580,DOI,AI,2026-03-24,
